publish_date,title,content,press
2013/03/02,蘇珊大嬸銀幕處女秀 瞄準奧斯卡,"                【影視組／綜合報導】51歲的「蘇珊大嬸」蘇珊波伊爾歌而優則演，本周展開首部電影《耶誕蠟燭》（暫譯）的拍攝。為了電影，她延緩個人歌舞劇到澳洲為期10周巡迴的時間，讓萬名買票觀眾大失所望；但她目標放眼下屆<font class=""item_keyword"">奧斯卡</font>，跨足大銀幕還「摸蛤仔兼洗褲」撈到主題曲演唱機會，志在一舉奪金，歌舞劇觀眾只能望穿秋水。蘇珊以大嬸形象風靡全球，劇中也不脫大媽形象，與老牌明星詹姆斯克斯摩飾演一對夫婦，還將演唱暫名為〈耶誕蠟燭之歌〉的主題曲，讓她成為下屆<font class=""item_keyword"">奧斯卡</font>最佳原創電影歌曲獎的熱門人選。製作人說，若能獲提名，將努力促成蘇珊大嬸在頒獎典禮一展長才。《耶誕蠟燭》改編美國暢銷作家麥克斯路卡度的短篇小說，描述英國維多利亞時代的一個村莊中，天使每25年會降臨造訪製燭工匠，祝福其中一只蠟燭，點燃這跟神奇蠟燭的人將可在耶誕節實現願望。                                ",中國時報
2013/03/02,「我沒興趣」 轉身背對 娜姊好膽耍大牌不甩李安 梅姨讚大導謙虛 嫉妒女兒拍《胡士托》,"                【張士達／綜合報導】李安導演剛以《少年PI的奇幻漂流》在<font class=""item_keyword"">奧斯卡</font>再度大放異彩，「與李安合作」，已經成全球電影人的夢想，但西洋天后瑪丹娜（娜姊），竟大牌到竟給李安臉色看！英國《每日郵報》報導，在一場<font class=""item_keyword"">奧斯卡</font>前幾天的派對上，李安試圖向瑪丹娜打招呼自我介紹，她卻對他毫不理會，還無禮地說「我沒興趣」，向來以有禮貌出名的李安，再度試圖對她說話，她竟乾脆轉身背向他。稱曾邀李安撇無禮目擊者表示，當日是好萊塢經紀公司CAA所舉辦的派對，巨星雲集，李奧納多狄卡普利歐、安海瑟薇、布萊德利古柏、珍妮佛安妮斯頓都是嘉賓。但娜姊那天非常誇張，整個人好像吃錯藥一樣烏雲罩頂，對每個人都很兇。一名與她工作的助理，則堅稱她當天心情很好，只是向來在這種場合，不會刻意故作開心地跟人打招呼，所以很多人可能會以為她很難搞、耍大牌。她的助理堅稱她絕沒有對李安無禮，事實上還邀請李安去她自己舉辦的<font class=""item_keyword"">奧斯卡</font>派對。瑪丹娜或許不買李安的帳，但「演技女神」梅莉史翠普（梅姨）對李安卻尊敬得很。史翠普去年<font class=""item_keyword"">奧斯卡</font>封后作品《鐵娘子：堅固柔情》終於將在大陸上映，為此她接受大陸媒體越洋採訪。《鳳凰網》報導，她對剛在<font class=""item_keyword"">奧斯卡</font>拿下最佳導演的李安，印象非常好：「我很喜歡李安！也很願意跟李安合作。事實上，我女兒已經在《胡士托風波》中跟李安合作過了，我還挺嫉妒她的。」梅姨誇《PI》神奇史翠普並說：「我覺得李安是非常有才華的人，多才多藝，最重要的是風格多變，每一部都不一樣，讓人覺得既有變化又有驚喜。這次的《少年PI》也讓我非常喜歡，簡直是他作品中最神奇的一部。李安是很謙卑的一個人。像昆丁泰倫提諾就屬於很高調的人，但李安比較低調，非常不願意彰顯，特別謙卑。」。                                ",中國時報
2013/03/02,勞倫斯哈菸冒火氣 影后形象遜,"                【黃識軒／綜合報導】珍妮佛勞倫斯靠《派特的幸福劇本》拿下85屆<font class=""item_keyword"">奧斯卡</font>影后，日前她赴夏威夷放大假，在房外陽台被拍到哈菸，還在炙熱氣候下講電話講得火冒三丈，英國《每日郵報》揶揄，「電話另一端是妳媽？」此外，該報也拍到她放下長髮，穿一襲黑色休閒裝，與女性友人辦私人派對，捲了一根菸大口吸，還拎一瓶紅酒。22歲的她個性直率，日前穿代言的品牌服飾出席<font class=""item_keyword"">奧斯卡</font>紅毯，美媒問她為該品牌拍攝的新廣告作品，她竟直言：「天啊！我還沒看過這些照片，一點也不像我，正常的人看起來不會那樣，是電腦修圖的結果，這世上我最愛的就是Photoshop（電腦修圖軟體）。」（吸菸有害健康）。                                ",中國時報
2013/03/02,樂聲引進Xanadu銀幕 板橋秀泰全景聲看《PI》,"                【張士達、陳昱翰／台北報導】《少年PI的奇幻漂流》在<font class=""item_keyword"">奧斯卡</font>鍍金，戲院跟著回溫，全台恢復到28家戲院聯映，看過的觀眾如今又多了重看一次的理由。該片以最先進的杜比全景聲（Dolby Atmos）音場技術製作，但過去台灣戲院尚未引進該系統硬體，無法完整呈現高品質效果，近日新開張的板橋秀泰影城，昨晚場起獨家上映《少年PI》3D全景聲版本，成全台首家以杜比全景聲系統放映的戲院。而在1964年開幕的樂聲戲院也有改革動作，該影廳座位多達1680個，是西門町最具代表性的電影院，2013年也有創舉，搶先引進「X4KDuo」4K雙機放映系統，打造全球首間採用「X4K Duo」頂級系統之「Xanadu（世外桃源之意思）」巨型銀幕影廳。董事長張心望表示，「Xanadu」廳的「X4K Duo」系統將展現出高亮度、高解析度、超寬視角以及高彩度等放映效果。                                ",中國時報
2013/03/02,《愛．慕》薩洛想念抓龍 明獻主題曲,"                【黃識軒／綜合報導】奧地利導演麥可漢內克執導的新片《愛．慕》，日前拿下<font class=""item_keyword"">奧斯卡</font>最佳外語片大獎，而參與該片演出的法國鋼琴家亞歷山大薩洛，則將於今（２）日抵台出席台中的首映見面會，明（３）日將舉辦他在台的首場鋼琴演奏會，據悉，他將在安可曲時演奏該片主題曲，是全球唯一親眼目睹的機會。44歲的薩洛從５歲開始學琴，17歲獲得第１座獎項肯定琴藝，在歐洲、北美及日本都頗具知名度。已５度訪台的他，直呼很想念台灣，盼再一嘗美味的小籠包，而按摩更是讓他魂牽夢縈，甚至直白表示，「我天天都想做！」他在該片飾演鋼琴教授夫妻檔的得意門生，戲分雖不多卻相當關鍵、感人，讓粉絲從樂迷變影迷。該片８日在台上映，更多電影資訊可上海鵬影業官網（www.swtwn.com/swfilm.htm）。                                ",中國時報
2013/03/02,醫囑多休息、少操勞 公益音樂會 胡志強臨時缺席,"                【盧金足／台中報導】台中市長胡志強「開心」手術後，為休養身體減少活動十多天，昨天原本預定出席一場公益音樂會，但可能是考量人潮眾多，臨時喊卡，這是胡術後第二度取消公開行程，夫人邵曉鈴及副市長蔡炳坤強調，胡有進辦公室看公文，復原狀況良好，希望不要太操勞。胡志強伉儷昨天本來要參加「珍愛自己、聽見真愛-經典老歌及黃梅調音樂會」記者會，卻僅邵曉鈴到場，胡志強臨時缺席，健康狀況又引發關切。胡志強二月五日在振興醫院接受冠狀動脈繞道手術，醫囑多休息，所以在農曆年春節後主持新春團拜及市政會議後即暫停公開活動。而李安以《少年Pi的奇幻漂流》在<font class=""item_keyword"">奧斯卡</font>金像獎摘金時，他剛好在振興醫院複檢，曾透過電話表達祝賀之意，聲音宏亮中氣十足，令人印象深刻。「胡市長的精神和身體狀況很好！」蔡炳坤說，市長天天都進辦公室看公文，只是沒有公開行程，現在遵從醫師叮嚀，短期內避免出入人潮多的地方，不影響公務。                                ",中國時報
2013/03/01,公視重播李安《少年PI》座談,"                【張士達】李安（右圖中）<font class=""item_keyword"">奧斯卡</font>獲獎，他日前返台與好友小野、陳文茜暢談《少年PI的奇幻漂流》中的創作心情，也將由公視播出。《少年PI的奇幻漂流》電影座談會將於明（２）日７點半在公視頻道、下午兩點半在公視２台，以及３日（周日）10點半在公視HD頻道播出。                                ",中國時報
2013/03/01,史匹柏出任坎城影展評審團主席,"                【影視組／綜合報導】法國坎城影展27日宣布史蒂芬史匹柏將出任評審團主席，影展主席吉爾雅各表示，自從1982年《外星人ET》在坎城影展全球首映後，就不斷邀請史導出任評審團主席，但史導一直在拍片，直到今年「ET終於打電話回家」，讓他等到這一天。史匹柏與坎城影展淵源深厚，首部執導的長片《橫衝直撞大逃亡》就在1974年贏得坎城影展最佳劇本獎，當時被媒體評為「導演界的新星」，可說是在坎城發跡；此外他的《紫色姊妹花》也於1986獲選為非競賽片。他執導的《林肯》雖未能拿下<font class=""item_keyword"">奧斯卡</font>導演獎或最佳影片獎，卻意外的在傳統排美的法國民眾間受到好評。第66屆坎城影展將於５月15至26日舉行。                                ",中國時報
2013/03/01,國家地理頻道首部劇情式紀錄片 布斯「刺殺林肯」：只有上帝能評斷對錯,"                【江家華／台北報導】丹尼爾戴路易斯以電影《林肯》獲得<font class=""item_keyword"">奧斯卡</font>最佳男主角獎，電影描述林肯解放黑奴，領導美國北方贏得南北戰爭的心路歷程。改編自奧雷利（Bill O’Reilly）原著的同名劇情式紀錄片（docudrama）《刺殺林肯》（見下圖，國家地理頻道提供），則試圖還原林肯被刺殺的戲劇化歷程。這是國家地理頻道製播的首部原創劇情式紀錄片，由英國名導組合雷利史考特、東尼史考特（已逝）旗下的Scott Free Productions製作，並由演出《謀殺》、《再續前緣》的男星比利坎貝爾飾演林肯，新人傑西強森飾演刺殺者布斯，由<font class=""item_keyword"">奧斯卡</font>影帝湯姆漢克擔任全片的口述。這部片從一八六五年四月十四日林肯遇刺談起，以戲劇手法再現林肯在世的情境，刺殺行動在大庭廣眾見證下進行，還有史無前例的大規模搜捕。這部片子對密謀刺殺的布斯，有深刻的著墨。湯姆漢克介紹布斯：「林肯的死神化了林肯，他從備受爭議的總統，變成備受愛戴的烈士。有關凶手的事實卻也因此遭到扭曲，布斯本該成為當時最偉大的演員之一，卻被歷史降格為膚淺的無賴。」布斯出生於南方的馬里蘭州，由南方邦聯總統傑佛遜戴維斯治理，是個反對解放的奴隸州。年輕、充滿熱情的布斯認為，林肯不僅想終結奴隸制度，還處心積慮摧毀南方人的生活方式，是個應該被推翻的暴君。在刺殺林肯之前，他也曾籌畫綁架林肯，只是任務失敗。布斯在刺殺林肯之前，寫了一封信，交給他的姊姊鎖進保險箱，信中寫道：「我的行為是對是錯，凡人無權論斷，只有上帝才能評斷。對南方我有滿腔熱愛，也不覺得把這個人（林肯）變成南方的階下囚有什麼不對，因為他造成了南方的苦難。」這個「刺殺行動」的參與者並非布斯一人，他還有三位同謀，刺殺的對象也不是只有林肯。當時的布斯廿六歲，他的同謀中，廿一歲的包威爾負責刺殺國務卿蘇沃德、卅歲的艾澤羅特負責刺殺副總統強森、廿三歲的哈洛負責帶著包威爾逃離。這四位年輕人全遭逮捕被判死刑。強森與蘇沃德兩人僥倖生還，並由強森繼任下一屆美國總統，蘇沃德續任國務卿。《刺殺林肯》的製作是獻給去年自殺過世的東尼史考特，台灣將於三月三日晚間九點於國家地理頻道首播。                                ",中國時報
2013/03/01,李安帶亮台灣 CNN譽「林來瘋」再現 專文剖析熱潮 酸大陸搶當自己人,"                【張士達／綜合報導】李安<font class=""item_keyword"">奧斯卡</font>再奪獎，台灣地標台北101立刻打出李安名字。在台居住16年的中廣主持人安德魯萊恩，為CNN撰寫專文，分析李安獲獎對台灣這個小島具有如此重大意義，全因台灣在國際舞台上的獨特身分。萊恩指出，李安獲獎時全台看轉播的觀眾歡聲雷動，正如2004年陳詩欣在雅典奧運為台灣奪下首面奧運金牌時，連新聞主播都感動落淚。台灣因長期被大陸打壓，只有23個正式外交友邦，靠著經濟、藝術與體育等表現在國際發光。李安獲獎熱潮不僅反應在台灣，連大陸官方的新華社都大幅報導，將他描述為美籍華人，兩岸各自表述爭光的情景，宛如「林來瘋」再現，讓人聯想到林書豪暴紅，被兩岸各自搶著定義為「自己人」的狀況。他還說，近年的吳季剛、吳寶春、曾雅妮、陳樹菊等在國際獲獎的台灣人，都陸續成為島內英雄。台灣對台灣之光的擁戴也在對全世界傳達，台灣或許是個在外交上孤立的小島，但依然值得在國際舞台上擁有自己的聲音。                                ",中國時報
