年,月,日,標題,內容,報社
2021,4,29,《農場》導演挪威發掘豬界梅莉史翠普,榮獲本屆奧斯卡最佳紀錄片15強的電影《農場我的家》，由《小丑》奧斯卡影帝瓦昆菲尼克斯監製，俄國紀錄片大師維克多柯薩科夫斯基（Victor Kossakovsky）執導，劇情透過1隻豬、1隻獨腳雞和2隻牛的農場日常，訴說深刻感人的故事，成功吸引名導接踵朝聖。曾獲坎城金棕櫚獎的美國導演葛斯范桑（Gus Van Sant）盛讚該片是「大師的完美神作，極美！必看！」而《羅馬》奧斯卡最佳導演艾方索柯朗更是熱愛該片，他表示《農場我的家》迫使觀眾拋棄對於語言、評判的成癮，「帶領我們體驗崇高的親情與生命的力量」。為拍攝該片，導演柯薩科夫斯基特別赴挪威奧斯陸附近一座農場「選角」，「甘妲」不畏生地走來，讓柯薩科夫斯基深深被打動，「我們找到女主角了！豬界的梅莉史翠普！」。《農場我的家》29日在台上映。 ,中國時報
2021,4,30,《南韓老戲骨發光》尹汝貞征服好萊塢   朴仁煥如蝶舞動奇蹟,尹汝貞拿下本屆奧斯卡最佳女配角獎，是南韓第一人。台灣「國民阿嬤」陳淑芳81歲奪金馬獎，誓言不退休；南韓「國民阿嬤」尹汝貞以電影《夢想之地》得本屆奧斯卡最佳女配角獎，舉國歡騰。韓流興起，老演員不只是韓片韓劇的阿公阿嬤專業戶，演技也同樣「薑是老的辣」，《如蝶翩翩》爺爺朴仁煥，終於圓夢登上芭蕾舞台，翩翩起舞的剎那，催淚動人。●73歲南韓梅姨 尹汝貞甩婚變靠夢想強大●73歲尹汝貞被譽南韓「梅莉史翠普」，她參與的實境節目《尹食堂》、《尹STAY》都紅到海外。她在《夢想之地》演非傳統外婆：嗜賭成性、滿嘴髒話、不按牌理出牌，卻讓一個瀕臨分裂的移民家庭，重新憶起最初懷抱夢想的模樣，因而凝聚彼此的感情，鮮明的角色、爐火純青演技，讓她一路拿獎到奧斯卡。尹汝貞在《夢想之地》演非傳統的外婆，在移民家庭中起關鍵性作用。●80歲貴氣型男 朴根瀅富豪專業戶●80歲朴根瀅不只是爺爺專戶，更是會長和富豪專業戶，出道時他即以英俊挺拔著稱，當年是型男。他在台灣知名作品包括《火花》、《背叛愛情》等，也曾隨《花漾爺爺》來台，一直和擔心他出遠門的愛妻傳簡訊，愛妻形象得分。他的最新韓劇作品《Undercover》， 改編自英國BBC同名電視劇，由池珍熙、金賢珠演一對神秘夫妻，朴根瀅飾池珍熙父親，首兩集就因病過世，一幕在街頭與兒子相遇的戲，十足催淚。,自由時報
2021,4,27,性感蠻腰 誘惑深V 搶當小金人女神,寶格麗品牌代言人千黛亞配戴BVLGARI頂級黃鑽與鑽石項鍊出席紅毯。圖╱寶格麗提供 瑞絲薇絲朋身穿Dior 2021秋冬紅色垂墜扭結設計禮服，像是希臘女神的現代化身。(美聯社) 瑪格羅比以香奈兒2019秋冬高級訂製服現身，搭配香奈兒手拿包與高級珠寶。(美聯社) 瑞絲薇絲朋身穿Dior 2021秋冬紅色垂墜扭結設計禮服，像是希臘女神的現代化身。(美聯社) 做為全球矚目的電影圈年度盛事，奧斯卡與會明星的紅毯造型年年都是焦點之一，今年紅毯上的衣著也反映出疫情現況，不見濃厚奢華貴氣，反而是以簡單的重點細節穿出隆重感，女星偏愛露腰、深V剪裁的禮服，色調以金屬色系和大紅色為主。瑪格羅比以香奈兒2019秋冬高級訂製服現身，細肩禮服上滿滿的銀色亮片花朵，搭配低馬尾造型看來慵懶優雅。凱莉墨里根的Valentino 2021春夏高級訂製金色亮片露腰禮服很有「小金人獎座」的既視感，由無數金色亮片緊密排列組成的細節也非常精緻；同樣選穿Valentino訂製露腰裝的千黛亞，則以亮黃色飄逸禮服帶來一絲度假風情。安德拉戴的Vera Wang金色禮服，斜角度中空設計搭配若隱若現的裙襬，格外性感火辣，另外像是凡妮莎寇比，也選擇Gucci的簡約風露腰禮服典雅登場。亞曼達塞佛瑞穿上大紅色烏干紗Armani 2021春夏高級訂製禮服出席，這件衣服當初在秀場上展演的是帶點神祕感的寶藍色，換成大紅色反而注滿熱情，也增添艷麗明媚的女人味。瑞絲薇絲朋的Dior 2021秋冬紅色垂墜扭結設計禮服，像是希臘女神的現代化身。韓國女星韓藝璃穿上Louis Vuitton的紅色排釦高領削肩晚宴洋裝展現超強氣場，薇拉戴維絲和蕾吉娜金恩，則是紛紛以Alexander McQueen和Louis Vuitton的雕花、訂製公爵夫人緞質羽扇蓬袖禮服穿出繁複裝飾魅力。穿Louis Vuitton訂製白色絹網緞面洋裝的瑪麗亞巴卡洛娃，很像一尊夢幻甜美的娃娃。今年備受關注的韓國女星尹汝貞，以Marmar Halim鴨藍色訂製款禮服現身，兩個口袋的設計更顯年輕有型。葛倫克蘿絲的Armani寶藍色特別訂製款長袖禮服，則是運用細碎亮片裝點低調華麗並搭上絨布褲裝和手套，俐落中不失貴氣優雅。黃鑽更襯膚色 白鑽優雅百搭黃鑽是今年奧斯卡紅毯珠寶最令人意外的主角。年輕一代的女星如紅毯資優生亞曼達塞佛瑞、「蜘蛛女」千黛亞，以及因飾演傳奇爵士女星比莉哈利戴而入圍最佳女主角的安德拉戴，都巧妙選擇透過黃鑽配襯自己獨特的膚色。其中，身為寶格麗代言人的千黛亞，更是搶先戴上品牌即將於今年夏季才要發表的年度頂級珠寶Magnifica系列珠寶，項鍊主石為一枚艷彩等級的6克拉黃鑽，配上鑲嵌總重約9.4克拉的2顆梨形切割濃彩黃鑽耳環，以及21.14克拉枕形切割黃鑽戒指，氣場驚人。今年有許多演技派的資深女星入圍，多選擇配戴經典的白鑽珠寶，詮釋不過分搶戲又優雅的搭配。像是以電影Minari「夢想之地」奪得最佳女配角的「韓國梅莉史翠普」尹汝貞，以蕭邦藍寶石鑽石戒指、鑽石手鍊與耳環，搭配杜拜設計師Marmar Halim的深藍色高級訂製服；同樣入圍女配角的資深影后奧莉薇亞柯爾曼，也是選擇配戴蕭邦的白鑽鑽石襯托一襲簡約的鮮紅禮服。不過白鑽的優雅體面與高搭配性，也是許多喜愛極簡主義風格女星的最愛，例如亞莉安娜黛博塞就以簡約的海瑞溫斯頓白鑽來彰顯亮橘色禮服的俐落線條；凡妮莎寇比更是直接將一條垂墜7.04克拉橢圓形主鑽的項鍊反戴；瑪格羅比則以垂墜珍珠流蘇的緞帶蝴蝶結耳環，完成金屬光澤刺繡禮服的整體造型。,聯合報
2021,4,27,法蘭西絲麥多曼3度封后狼嚎　「人魔」霍金斯最高齡影帝,演技無雙今年奧斯卡影后獎項被稱為「死亡之組」，63歲美國女星法蘭西絲麥多曼（Frances McDormand）昨以《游牧人生》勝出，集郵生涯第3座奧斯卡影后，超車拿過2次「梅姨」梅莉史翠普，距離凱薩琳赫本的最多奧斯卡影后獎座紀錄還有1座之差。法蘭西絲引述老公喬柯恩正執導的《馬克白》台詞說：「我沒有話要說，我的聲音就在我的劍裡。」接著率性表示：「劍指的就是我們的工作，而我熱愛工作，謝謝你們洞悉這一點。」83歲的英國資深影帝安東尼霍金斯則加冕影史最高齡奧斯卡影帝。法蘭西絲1997年以《冰血暴》首度封后，睽違21年以《意外》的悍媽一角擁抱第2座影后獎，並進入「奧斯卡3金俱樂部」，成為第7位獲得3座以上小金人的演員。《游牧》展內斂戲骨《游牧人生》片中，她飾演的中年女子「芬恩」住了大半輩子的小鎮因石膏廠關閉而成了鬼城，選擇以車為家的游牧生活，探索人生。法蘭西絲在銀幕上常予人強勢、剽悍的形象，《游》片中她藏起銳氣，展現出內斂的韌性與執著。她昨兩度上台也讓人看到她如片中的率真性格。她以製片身分領最佳影片時，在台上學狼叫，致哀上月輕生辭世的音效師麥可沃夫史奈德（Michael Wolf Snyder）；今年頒獎典禮場地搬到洛杉磯的聯合車站，法蘭西絲領影后獎時開玩笑說：「他們（製作單位）沒來問我，如果問了我會說……我們應該在卡拉OK店舉行。」英國資深影帝安東尼霍金斯以《父親》打敗奪獎大熱的「黑豹」查德維克博斯曼獲頒影帝，成為影史最高齡的奧斯卡演技獎得主。贏家致哀天上黑豹這是霍金斯繼29年前以《沉默的羔羊》之後，第2度獲奧斯卡影帝榮銜。他在家鄉威爾斯不克赴美，揭曉後錄影片向投票給他的美國影藝學院成員致謝，並表示：「特別對查德維克博斯曼致哀，他實在太早離開我們了。」6度提名奧斯卡的霍金斯在《沉默的羔羊》詮釋人魔「漢尼拔」堪稱經典，但他從影60多年來演出的140多部影視作品中，令人難忘的角色不止於此，知名作品還包括《此情可問天》、《長日將盡》、《白宮風暴》。漫威電影宇宙他也有一席之地，飾演《雷神索爾》系列中的索爾父親「奧丁」。《父親》片中，年邁的他罹患失智症，生活能力每下愈況，兒女因此心力交瘁，題材引發共鳴。該角色完全為他量身打造，不論角色名字、生日都和他本人一樣，他曾打趣說：「我拍這部電影，說不定能避免失智！」被問到是否曾因年紀大而考慮退休，他的反應相當強烈：「我放棄事業就會掛掉！我必須當個老戰士，我是鬥士！」還說拍戲是「可領薪水的嗜好」，會繼續拍好戲，讓粉絲很放心。,蘋果日報
2021,4,27,尹汝貞拗老闆小布撒錢　掄女配韓國No.1　卡盧亞《猶大》摘男配,綠葉增輝有「韓國梅莉史翠普」美稱的尹汝貞今年73歲，演活《夢想之地》另類且溫暖的韓國外婆，讓她在獎季入袋的女配獎推進到39座，首度入圍奧斯卡最佳女配角就抱獎，成為韓星第1人，堪稱「韓國之光」。尹汝貞昨典禮上從《夢》片幕後老闆布萊德彼特（小布）手中接過獎座，幽默說：「很開心終於見面了，我們拍片時你在哪？」全場哈哈大笑；男配角得主則是《猶大與黑彌賽亞》的丹尼爾卡盧亞。尹汝貞從影55年，累積逾百部電視劇、36部電影作品，不僅是韓國青龍獎、大鐘獎的常客，也多次出征坎城影展等國際影壇盛事，近年參與《尹食堂》系列綜藝節目也大受歡迎。她去年至今以《夢》片勇奪美國演員工會、英國奧斯卡等38座獎，昨抱回小金人，全韓欣喜若狂。她曾旅居美國10多年，昨領獎時全程以英文致詞，難掩驚訝地說：「今天直接來到這裡，實在難以置信。」擊退戲精謙稱運氣她首度入圍就擊敗《絕望者之歌》葛倫克蘿絲等好萊塢戲精，謙虛說：「我何德何能，可以跟葛倫克蘿絲這樣的名演員競爭，我只是運氣比較好，所以站上這裡。」她致謝《夢》片團隊，也用幽默方式答謝家人：「感謝慫恿我外出工作的2個兒子，多虧他們『嘮叨』，才會有這樣的事（指得獎），媽媽有認真工作！」引發哄堂大笑。挑選禮服只想低調尹汝貞會後與《夢》片製作公司「Plan B」老闆小布合影，媒體問她「布萊德彼特的味道如何」？她率直回答：「我沒聞，我又不是狗！」被問到聊了什麼？尹汝貞說：「我請他下部片多投資點錢，他說會多一點，很妙地閃過。」暢所欲言讓人見識她的真性情。尹汝貞昨穿深藍色長裙走紅毯，香港《蘋果動新聞》訪問為她打理奧斯卡穿搭的造型師Alvin Goh（吳吉倫），人在香港的他透露，從未見過尹汝貞本人，全靠視訊溝通，他接到許多品牌來電願意贊助禮服，「起碼看了250、300件」。他曾為艾瑪華森、瑪歌羅比做造型，「女星通常都希望凸出，但尹汝貞只想低調」，最後選了少見的Marmar Halim深色禮服，「她說最像她」。32歲的烏干達裔英國籍男星丹尼爾卡盧亞（Daniel Kaluuya）以《猶大與黑彌賽亞》摘下最佳男配角，他的家人和朋友在英國透過越洋直播，分享他的榮耀時刻。他致詞時特別感謝母親，竟興奮說出：「我們呼吸、走路，太不可思議了，就像我爸媽他們做愛，太讚了！我很高興能活著，今晚要好好慶祝！」脫稿演出讓老媽傻眼，張大嘴說：「他到底在說什麼？」他妹妹則以雙手抱頭，尷尬到不想面對鏡頭。,蘋果日報
2019,2,28,奧斯卡新后薪水秒翻4倍 笑迎7.7億片酬,奧莉薇亞柯曼以《真寵》在奧斯卡金像獎封后。先接Netflix影集美國娛樂顧問布洛迪庫柏向英國《鏡報》表示，奧莉薇亞能比肩葛倫與「梅姨」梅莉史翠普等重量級女星，「她的奧斯卡讓她的地位與薪酬都立刻晉升好萊塢一線。一夕之間她的吸金力直接翻4倍，有機會開出超過2500萬美元的片酬。」她接下來將在Netflix熱門影集《王冠》飾英國女王伊麗莎白二世，令影迷十分期待。,蘋果日報
2018,3,7,《奧斯卡回響》梅姨強顏續攤20分快閃 吉勒摩榮耀故里 墨西哥歡騰,奧斯卡典禮結束後，明星們都會直接去主席晚宴續攤，在精緻餐點間與影人交流。年年入圍所以年年都會去晚宴的梅莉史翠普（MerylStreep，梅姨），今年再次陪榜後似乎意興闌珊，待不到了20分鐘就先行離開。74歲的頒獎人克里斯多福華肯（Christopher Walken）輕鬆與太太一起吃著點心，他坦言上台時很緊張，事後回想起來「什麼都看不到也聽不到」，似乎不知道台下歡迎他的掌聲有多熱烈。入圍14次的攝影師羅傑狄金斯（Roger Deakins）終於憑《銀翼殺手2049》奪獎，他開心地手握獎座穿梭會場，也大方讓朋友把玩。墨西哥導演吉勒摩戴托羅（Guillermo del Toro）以《水底情深》勇奪奧斯卡最佳導演、最佳影片等4大獎，家鄉瓜達拉哈拉的民眾舉著奧斯卡大金人道具上街遊行，還有街頭樂隊演奏大舉慶祝。當地粉絲都聚集在一起看直播，得知好消息後群眾蜂擁街頭，把橫掃奧斯卡吉勒摩戴托羅視為家鄉英雄。 ,中國時報
2018,3,6,瑪格羅比 老娘叫銀白女神 小珍妮佛化身自光體 妮可基嫚靠腰蝴蝶結...... 深V美炸自己做主,服裝，向來是種宣示。奧斯卡熠熠明星身穿華裝走紅毯，不僅只是為了爭妍鬥麗，在衣香鬢影的奢華之中，其實也傳遞了一些訊息，讓人得以窺見流行時尚、社會議題和「性自主」的大趨勢。黑潮退散 穿美美才是「性自主」傳統女權主義主張「賣弄性感就是物化女性」的論調，已經過時了，女人穿美美才是「性自主」，符合女權主流。今年的奧斯卡紅毯雖仍籠罩在性騷擾醜聞的陰影，但女星已拋開黑色的哀悼與悲情，不願自怨自艾，反倒要大鳴大放、發光發亮，紛紛穿亮色系禮服，甚至裝飾閃亮水晶與亮片的禮服。今年的奧斯卡紅毯不再一片黑壓壓；瑪格羅比穿白色香奈兒訂製服搭鍊帶水晶包，登上奧斯卡紅毯女神；艾瑪史東則穿LV深紅色帥氣褲裝走紅毯，展現女強人氣勢；最開心的莫過於開雲集團老闆娘莎瑪海耶克，她特別選穿GUCCI粉紫色禮服和要價逾400萬美金的Harry Winston珠寶走紅毯。有趣的是，今年奧斯卡紅毯上穿亮片禮服的女星比以往多，如神力女超人蓋兒加朵穿GIVENCHY亮片禮服、珍妮佛勞倫斯穿DIOR亮片禮服，紛紛「自備光環」閃爆紅毯。薑是老的辣熟女女星完勝紅毯熟女女星是今年奧斯卡的另一個亮點，68歲的梅姨、80歲的珍芳達、72歲的海倫米蘭等，皆以不凡的時尚品味和氣勢贏得掌聲。其中年逾半百的妮可基嫚身穿亞曼尼藍色禮服搭OMEGA腕表，再度展現時尚功力。拿下最佳女配角獎的艾莉森珍妮則以一襲Reem Acra紅色禮服，贏得如潮佳評，珊卓布拉克穿LV黑銀色亮面禮服同樣令人驚豔，證明了薑是老的辣。 ,中國時報
2018,3,6,《奧斯卡紅毯》梅姨大紅 撞臉史瑞克神仙教母,梅莉史翠普紅毯造型大器知性。梅莉史翠普的紅毯造型意外撞臉《史瑞克》中的「神仙教母」。「梅姨」梅莉史翠普今年21度入圍奧斯卡，再度刷新自身傲人紀錄，身為紅毯常客的她，這次選擇以一身簡約大紅色長禮服登場，她盤起頭髮、戴上細框眼鏡，大器又知性，但有眼尖網友發現，她的造型與動畫片《史瑞克》中的「神仙教母」如出一轍，逗趣對比意外掀起討論。,自由時報
2018,3,6,金光閃閃 蝶蝶不休紅毯嬌點,平昌冬奧花式滑冰銅牌得主Adam Rippon穿上Moschino變化型西裝走紅毯。 上屆影后艾瑪史東選穿Louis Vuitton酒紅色絲綢外套搭長褲，腰間用桃紅蝴蝶結繫出俏皮氣息。穿著Armani蝴蝶結寶藍色高級訂製服的妮可基嫚，大秀美腿及腳上的紅底鞋王Christian Louboutin。女星比美復古展現甜美強調腰身的五○年代掀起大蝴蝶結裝飾流行，本屆奧斯卡紅毯上也能見到這股復古風潮。上屆影后艾瑪史東選穿Louis Vuitton酒紅色絲綢外套搭長褲，腰間用桃紅蝴蝶結繫出俏皮氣息。穿著Armani蝴蝶結寶藍色高級訂製服的妮可基嫚，高衩剪裁不時大秀美腿及腳上的紅底鞋王Christian Louboutin，新生代潛力女星莎柔絲羅南則是以背後裝飾蝴蝶結的Calvin Klein粉紅色禮服展現宛如洋娃娃般的甜美。亮片光澤搶眼珍妮佛勞倫斯選穿Dior金色亮片禮服，簡約的線條卻像奧斯卡小金人獎座一樣充滿搶眼光澤。蓋兒加朵則是以Givenchy銀色亮片流蘇禮服展現二○年代的狂野奢華，Lupita Nyong'o的Calvin Klein禮服則是用不對稱的肩線設計帶出異國風情。柔色凸顯身材繁複作工的白色、粉嫩色調禮服也受到許多女星歡迎，瑪格羅比以一襲白色香奈兒高級訂製服搭配透明Minaudiere鍊帶硬殼包，柔美典雅又低調貴氣。Ashley Williams、Zoey Deutch皆以透膚輕紗材質打造的粉嫩色禮服現身，高齡80歲的珍芳達則是用Balmain白色俐落線條穿出連年輕人都羨慕的完美身型。姊字輩愛紅色榮獲最佳女配角的愛莉森珍妮，以Reem Acra曳地長袖紅色禮服穿出氣勢，而梅莉史翠普也同樣選擇紅色Dior深V剪裁禮服，展現優雅從容氣質。男星穿著絲絨花美男陽剛帥氣雙排扣博好評「以你的名字呼喚我」席捲全球影展大獎，此次也入圍奧斯卡的三項大獎，也讓劇中的兩位男主角Timothée Chalamet和艾米漢默的人氣水漲船高。艾米漢默身穿Giorgio Armani酒紅色絲絨禮服內搭白襯衫、黑領結及皮鞋現身；年輕的Timothée Chalamet則挑選了由Berluti創意總監Haider Ackermann為他量身打造的全白晚宴服，搭上黑色短靴，既有活力又時髦。「蜘蛛人」Tom Holland的Hermes雙排扣西裝造型，也為他博得紅毯最帥穿搭的好評。刺繡大衣突圍而值得注意的是除了艾米漢默之外，包括了美國男星Ansel Elgort、馬修麥康納、「月光下男孩」的Mahershala Ali，以及「逃出絕命鎮」的Daniel Kaluuya都同樣以不同顏色的絲絨晚宴西裝走紅毯，成為本屆奧斯卡男星們的穿搭趨勢。另外，「黑豹」男主角Chadwick Boseman則不穿西裝，而是以Givenchy的肩部刺繡長大衣的搭配，帥氣登場，讓所有人都感受到他逐漸崛起的氣勢。不僅如此，剛拿下平昌冬奧花式滑冰銅牌得主Adam Rippon也穿上Moschino變化型西裝走紅毯。,聯合報
