年,月,日,標題,內容,報社
2021,4,27,新科女配尹汝貞曝片酬僅30萬 見小布秒變追星族 嗨喊終於見到你,73歲韓國女星尹汝貞憑藉《夢想之地》中不按牌理出牌的外婆「順子」，昨不負眾望拿下奧斯卡最佳女配角獎，除成為首位抱走奧斯卡演員獎的韓星外，更成功追星頒獎人兼該片幕後老闆「小布」布萊德彼特（Brad Pitt），她一上台就高喊：「布萊德彼特先生，終於見到你了，我們拍片時你在哪？」逗趣舉動成為典禮一大亮點。尹汝貞昨得獎後，在後台被追問想跟小布合拍什麼類型的電影，她謙稱自己英語不好，年齡差又大，不敢奢望。再被問及小布聞起來是什麼味道時，她直率回：「沒聞欸，我又不是狗！」之後韓媒聯訪時好奇她和小布聊了什麼？尹汝貞笑說，除了約定好一定會拜訪韓國，「還說『非常景仰您的表演』，我是不信啦，美國人不是都很會說場面話嗎」？並透露她只拿了約30萬台幣片酬，還自掏腰包飛來參加頒獎典禮，不忘搞笑向小布說希望下次拍片可以再給多一點製作費。她在謝辭中說每位入圍的都是得獎者，「我能夠站在這裡是因為我多了幾分幸運，也可能是美國的待客之道，把獎項給了韓國演員」。昨朴敘俊、宋慧喬等韓星均接力祝賀，韓國總統文在寅也發文向她的表演人生致敬，誇尹汝貞「憑藉持續不懈的熱情，感動了不同文化種族的人」。曾以《逃出絕命鎮》入圍奧斯卡影帝的32歲烏干達裔英國籍男星丹尼爾卡盧亞（Daniel Kaluuya），在改編自真人真事電影《猶大與黑色彌賽亞》飾演已故黑豹黨民權領袖，成功奪下首座奧斯卡最佳男配角獎。他在台上感謝家人，更語出驚人喊：「我們正在呼吸、走路，太不可思議了，就像我爸媽，他們做愛，太棒了！我很開心能活著，今晚要好好慶祝！」讓在英國透過直播分享喜悅的媽媽和妹妹也傻眼，直呼：「他到底在說什麼？」。 ,中國時報
2021,4,30,《南韓老戲骨發光》尹汝貞征服好萊塢   朴仁煥如蝶舞動奇蹟,尹汝貞拿下本屆奧斯卡最佳女配角獎，是南韓第一人。台灣「國民阿嬤」陳淑芳81歲奪金馬獎，誓言不退休；南韓「國民阿嬤」尹汝貞以電影《夢想之地》得本屆奧斯卡最佳女配角獎，舉國歡騰。韓流興起，老演員不只是韓片韓劇的阿公阿嬤專業戶，演技也同樣「薑是老的辣」，《如蝶翩翩》爺爺朴仁煥，終於圓夢登上芭蕾舞台，翩翩起舞的剎那，催淚動人。●73歲南韓梅姨 尹汝貞甩婚變靠夢想強大●73歲尹汝貞被譽南韓「梅莉史翠普」，她參與的實境節目《尹食堂》、《尹STAY》都紅到海外。她在《夢想之地》演非傳統外婆：嗜賭成性、滿嘴髒話、不按牌理出牌，卻讓一個瀕臨分裂的移民家庭，重新憶起最初懷抱夢想的模樣，因而凝聚彼此的感情，鮮明的角色、爐火純青演技，讓她一路拿獎到奧斯卡。尹汝貞在《夢想之地》演非傳統的外婆，在移民家庭中起關鍵性作用。●80歲貴氣型男 朴根瀅富豪專業戶●80歲朴根瀅不只是爺爺專戶，更是會長和富豪專業戶，出道時他即以英俊挺拔著稱，當年是型男。他在台灣知名作品包括《火花》、《背叛愛情》等，也曾隨《花漾爺爺》來台，一直和擔心他出遠門的愛妻傳簡訊，愛妻形象得分。他的最新韓劇作品《Undercover》， 改編自英國BBC同名電視劇，由池珍熙、金賢珠演一對神秘夫妻，朴根瀅飾池珍熙父親，首兩集就因病過世，一幕在街頭與兒子相遇的戲，十足催淚。,自由時報
2021,4,27,《奧斯卡頒獎》尹汝貞擒女配 調侃老闆小布沒探班,尹汝貞從出資老闆布萊德彼特手中接下獎座，領獎時不忘調侃他一番。73歲南韓女星尹汝貞以電影《夢想之地》順利抱走最佳女配角獎，成為首位奪下奧斯卡演技獎的韓星。尹汝貞從該片出資老闆布萊德彼特手中接下獎座，不忘調侃他：「終於見到你了，布萊德彼特，我們拍片時你在哪裡呢？」逗笑眾人。她在後台被問站在布萊德彼特旁邊，聞起來是什麼味道，她打趣說：「我沒有聞他，我又不是狗。」再度引來現場爆笑。尹汝貞領獎時以全英文致詞，感謝被導演鄭李爍選中演出該片，接著開心說，過去都是在台下看奧斯卡，這次親自站上台，感到難以置信。她謙稱：「我何德何能可和葛倫克蘿絲這樣的名演員一起競爭，我只是運氣好，才能站上這裡。」尹汝貞在《夢》片飾演從南韓到美國的外婆，說話幽默風趣，片中和外孫艾倫金的互動令人莞爾，吸引觀眾目光。和尹汝貞合作人氣韓綜《尹Stay》的男星朴敘俊、崔宇植與鄭裕美等，皆透過經紀公司送上祝賀；《夢想之地》在台上映中。,自由時報
2021,4,29,阿諾狠批奧斯卡獎無聊 浪費很多人才,尹汝貞以「夢想之地」拿下奧斯卡獎最佳女配角。 73歲阿諾史瓦辛格向來直言，他日前接受知名主持人吉米金莫採訪，提到他看了奧斯卡頒獎典禮，覺得過程非常無聊，「典禮至少有3個多小時，但我只看了1小時就關掉電視」。阿諾砲火猛烈，說節目冗長沉悶，根本看不下去，「明明主辦單位找來這麼多充滿才華的影人製作，結果卻這麼無聊，他們明明都很厲害，卻把典禮搞到讓人昏昏欲睡」，更揶揄這屆典禮都改至有82年歷史的聯合車站舉辦，依舊乏人問津，「下一次不如改到旅行勝地聖塔莫尼卡海灘舉辦吧，可能還會比較多人」。同為73歲的韓國資深影星尹汝貞，以「夢想之地」拿下奧斯卡最佳女配角，締造韓國演員首位獲得該獎的創舉，她獲獎後接受美媒「NBC News」採訪，直言對好萊塢沒憧憬，「我去美國，只是去見一下住在那邊的兒子」，自承連奧斯卡的會後派對都沒去，「腳太痛又很累，馬上就回家了，一直躺在床上」，幽默又率真的言論令網友喜愛。尹汝貞在全球暴紅，亦有韓媒挖出她小8歲的妹妹尹汝順，是南韓知名企業LG的首位女性CEO，還曾推出自傳「優雅奪冠的女人」，提到自己過往在職場時所遭受的歧視與困境，但自己仍然努力闖出一片天，過程相當勵志，讓不少網友讚賞尹家是韓國之光，姊妹都為韓國貢獻不少光榮。,聯合報
2021,4,27,尹汝貞 妙語如珠酸小布講場面話,尹汝貞 第93屆奧斯卡得獎名單 製表╱黃保慧 尹汝貞以「夢想之地」拿下奧斯卡獎最佳女配角，是韓國第一位演員獲獎。圖╱傳影互動提供 第93屆奧斯卡得獎名單 製表╱黃保慧 73歲韓國女星尹汝貞以「夢想之地」拿下本屆奧斯卡獎最佳女配角，創下首位韓國演員獲獎紀錄，尹汝貞上台致詞時妙語如珠，直呼「我才不可能贏過葛倫克蘿絲，我想說我們每個入圍者都是贏家。」引來全場掌聲。尹汝貞致詞時，感謝導演鄭李爍，願意選她演出，也逐一點名史蒂芬元、韓藝璃及艾倫等演員，「很榮幸可以跟你們成為家人」，並高舉奧斯卡獎座，向鏡頭前的2個兒子致意，「你們知道為何媽媽這麼辛苦工作嗎？這就是我的答案。」尹汝貞與頒獎人布萊德彼特的互動，也是典禮大亮點，布萊德同時也是「夢想之地」的出資老闆，她一上台就虧小布，「我們拍片時你在哪裡？我現在才終於見到你」，小布只能無奈苦笑。尹汝貞後台受訪時，另被記者問「布萊德彼特好聞嗎？」她再展尹式幽默：「幹嘛聞他，我又不是狗。」得知小布誇讚她演技傑出，她又幽默說：「美國人比較會講場面話啦。」笑翻全場媒體。尹汝貞是韓國的長青樹演員，出道52年，剛出道沒多久，就以林常樹執導的「火女」獲得青龍奬、大鐘獎肯定，卻選擇在演藝生涯最高峰時，嫁給歌手趙英男，還為愛息影，陪老公到美國定居生活，沒想到13年後，發現丈夫外遇，毅然決然帶2個小孩回韓國重返影壇，更因綜藝節目「尹食堂」、「尹STAY」知名度大開，深受年輕影迷喜愛。尹汝貞得獎，也讓南韓演藝圈振奮無比，包括總統文在寅、藝人們接連發文祝賀，大讚尹汝貞為國爭光、實至名歸。和尹汝貞合作「尹STAY」的製作人羅䁐錫，不忘預約尹汝貞「再一起開幾間餐廳」，節目班底崔宇植看直播熱淚盈眶，與朴敘俊、鄭有美等明星都對前輩佩服不已。,聯合報
2021,4,26,親弟事業低潮 雷神太忙沒空理,連恩漢斯沃 就算感情再好的親兄弟，只要都在娛樂圈，就難逃被比較，也無可避免因此傷害到手足之情。近來歐美八卦刊物盛傳「飢餓遊戲」長腿帥哥連恩漢斯沃演藝事業陷入瓶頸，苦無好的劇本上門，對於拍片意興闌珊，被正當紅搶手、大片邀約不斷的二哥「雷神索爾」克里斯漢斯沃逐漸疏遠，無復昔日的兄弟情深。根據雜誌報導，克里斯以往和連恩不只常會碰面，社群網站上的互動也很緊密，他們家三兄弟都在演藝界發展，大哥路克身高最矮、外表不如兩個弟弟，事業發展始終墊底。而連恩和克里斯曾競逐索爾一角，結果克里斯勝出，藝壇行情跟著一飛沖天，連恩雖然曾因「飢餓遊戲」紅過一陣子，卻後繼乏力，尤其和麥莉分分合合，結婚後不到一年閃離，對他沒加到分，反而有負面影響。他近來多半待在澳洲過著閒散的日子，許久沒傳有任何新片計畫。反觀克里斯，前幾年忙到被傳婚姻恐生變，後來才刻意排開工作，回歸家庭，可是才一年多又開始忙著拍新戲，而且演藝圈友人愈交愈大咖，已從漫威英雄演員們，變成了奧斯卡得主等級的麥特戴蒙、羅素克洛等，雜誌稱他招呼這些影壇大哥都來不及，懶得再理無所事事的親弟弟，造成兄弟間有些心結。對此，兄弟倆都不打算回應。,聯合報
2021,4,27,尹汝貞拗老闆小布撒錢　掄女配韓國No.1　卡盧亞《猶大》摘男配,綠葉增輝有「韓國梅莉史翠普」美稱的尹汝貞今年73歲，演活《夢想之地》另類且溫暖的韓國外婆，讓她在獎季入袋的女配獎推進到39座，首度入圍奧斯卡最佳女配角就抱獎，成為韓星第1人，堪稱「韓國之光」。尹汝貞昨典禮上從《夢》片幕後老闆布萊德彼特（小布）手中接過獎座，幽默說：「很開心終於見面了，我們拍片時你在哪？」全場哈哈大笑；男配角得主則是《猶大與黑彌賽亞》的丹尼爾卡盧亞。尹汝貞從影55年，累積逾百部電視劇、36部電影作品，不僅是韓國青龍獎、大鐘獎的常客，也多次出征坎城影展等國際影壇盛事，近年參與《尹食堂》系列綜藝節目也大受歡迎。她去年至今以《夢》片勇奪美國演員工會、英國奧斯卡等38座獎，昨抱回小金人，全韓欣喜若狂。她曾旅居美國10多年，昨領獎時全程以英文致詞，難掩驚訝地說：「今天直接來到這裡，實在難以置信。」擊退戲精謙稱運氣她首度入圍就擊敗《絕望者之歌》葛倫克蘿絲等好萊塢戲精，謙虛說：「我何德何能，可以跟葛倫克蘿絲這樣的名演員競爭，我只是運氣比較好，所以站上這裡。」她致謝《夢》片團隊，也用幽默方式答謝家人：「感謝慫恿我外出工作的2個兒子，多虧他們『嘮叨』，才會有這樣的事（指得獎），媽媽有認真工作！」引發哄堂大笑。挑選禮服只想低調尹汝貞會後與《夢》片製作公司「Plan B」老闆小布合影，媒體問她「布萊德彼特的味道如何」？她率直回答：「我沒聞，我又不是狗！」被問到聊了什麼？尹汝貞說：「我請他下部片多投資點錢，他說會多一點，很妙地閃過。」暢所欲言讓人見識她的真性情。尹汝貞昨穿深藍色長裙走紅毯，香港《蘋果動新聞》訪問為她打理奧斯卡穿搭的造型師Alvin Goh（吳吉倫），人在香港的他透露，從未見過尹汝貞本人，全靠視訊溝通，他接到許多品牌來電願意贊助禮服，「起碼看了250、300件」。他曾為艾瑪華森、瑪歌羅比做造型，「女星通常都希望凸出，但尹汝貞只想低調」，最後選了少見的Marmar Halim深色禮服，「她說最像她」。32歲的烏干達裔英國籍男星丹尼爾卡盧亞（Daniel Kaluuya）以《猶大與黑彌賽亞》摘下最佳男配角，他的家人和朋友在英國透過越洋直播，分享他的榮耀時刻。他致詞時特別感謝母親，竟興奮說出：「我們呼吸、走路，太不可思議了，就像我爸媽他們做愛，太讚了！我很高興能活著，今晚要好好慶祝！」脫稿演出讓老媽傻眼，張大嘴說：「他到底在說什麼？」他妹妹則以雙手抱頭，尷尬到不想面對鏡頭。,蘋果日報
2020,2,11,奧斯卡緬懷高以翔 女友Bella傾吐思念,在本屆奧斯卡獎的緬懷年度逝世影人的環節中，邀請到美國超級新人王怪奇比莉（Billie Eilish）演唱披頭四經典名曲〈Yesterday〉，螢幕上除了出現傳奇球星柯比布萊恩（Kobe Bryant）、寇克道格拉斯（Kirk Douglas）、安娜凱莉娜（Anna Karina）、彼得方達（Peter Fonda）、碧比安德松（Bibi Andersson）、桃樂絲黛（Doris Day）等好萊塢巨星，去年參加大陸綜藝節目時意外驟逝的高以翔身影也出現在大銀幕上，讓人鼻酸。高以翔女友Bella在轉播當下，第一時間用天使與藍色愛心的表情符號發上限時動態；他的好友毛加恩則是翻拍大螢幕，發文寫下「Always missing you」。高以翔2013年曾在電影《天使聖物：骸骨之城》飾演關鍵角色「布魯克林大巫師」，俊俏的東方臉孔在當時引發不少話題。 ,中國時報
2020,2,11,《茱蒂》奪影后 歐美獎季橫掃19座 芮妮齊薇格息影6年重返榮耀,第92屆奧斯卡最佳女主角獎由呼聲最高的芮妮齊薇格（Renee Zellweger）登上影后寶座，是她暌違16年再度踏進奧斯卡獎殿堂，她在《茱蒂》中完美詮釋「傳奇天后」茱蒂嘉蘭（Judy Garland）波瀾壯闊的人生，一連拿下奧斯卡、金球獎、演員工會獎、英國奧斯卡等獎項之最佳女主角獎，橫掃歐美獎季共19座女主角獎。50歲的芮妮曾4度入圍奧斯卡，其中2次與影后獎項擦肩而過，2004年以《冷山》獲頒最佳女配角獎，她息影6年後，昨以重返大銀幕的作品《茱蒂》，終於如願以償奪得最佳女主角獎。芮妮與所飾演的角色際遇相互呼應，她在1996年以《征服情海》爆紅，到2010年間拍了24部電影，卻因此身心靈失衡，她選擇轉身離開、消失在鎂光燈下，她回憶：「玫瑰無法盛開一整年，除非它是塑膠做的。」芮妮在拿下影后時感謝團隊，並把獎項獻給茱蒂嘉蘭。而她在頒獎典禮上，與昔日舊情人布萊德利庫柏（Bradley Cooper）同框畫面，意外成焦點。為了演繹茱蒂，芮妮坦言：「有整整一年時間，茱蒂嘉蘭就像是坐在我的副駕駛座一樣，我聽著她的歌、她的訪談；我研究她的故事，她的一切。」除了揣摩歌聲外，關於茱蒂嘉蘭的口音、講話的抑揚頓挫，甚至是在舞台上移動的方式跟身體的姿態，都讓芮妮模仿得惟妙惟肖，成功演出一代巨星輝煌成就背後的落寞和掙扎。該片全台上映中。 ,中國時報
2020,2,11,宋康昊下一部想演上流社長 見證奉俊昊20年寫實創作風格,第92屆奧斯卡金像獎，即使沒有主持人，依然在頒獎人與歌舞表演得宜安排下流暢進行。最令人驚喜的莫過於事前保密到家的「饒舌之神」阿姆（Eminem）驚喜登台，獻唱18年前由他主演的半自傳電影《街頭痞子》中獲最佳原創歌曲的主題曲〈Lose Yourself〉，原來他當年並未出席典禮，昨算是持來的加冕儀式，讓台下的群星都跟著一同搖擺，回味年少時光成為典禮最大彩蛋。典禮另一亮點是入圍最佳原創歌曲的《冰雪奇緣2》主題曲〈Intothe Unknown〉的表演，除原唱伊迪娜曼佐（Idina Menzel）登台，還找來其他9種語言的歌手一同合唱，包括日本松隆子、泰國維查雅尼別格林（Gam Wichayanee）、拉美卡門莎拉罕（Carmen Sarahi）等歌手，共10位「艾莎」一起飆高音。典禮開場由歌手兼演員的賈奈兒夢內（Janelle Monae）的歌舞表演拉開序幕，接著史提夫馬丁（Steve Martin）和克里斯洛克（Chris Rock）獻上超酸脫口秀，洛克稱自己超愛《愛爾蘭人》第1季，暗指3小時的電影有夠長，還解釋《海芮》女星辛西婭艾利沃（Cynthia Erivo）之所以是今年唯一入圍演技獎項的非白人演員，因為：「辛西婭藏黑人的功夫太厲害，主辦單位找她來把黑人入圍者藏起來。」。 ,中國時報
