年,月,日,標題,內容,報社,關鍵字
2021,4,29,《農場》導演挪威發掘豬界梅莉史翠普,榮獲本屆奧斯卡最佳紀錄片15強的電影《農場我的家》，由《小丑》奧斯卡影帝瓦昆菲尼克斯監製，俄國紀錄片大師維克多柯薩科夫斯基（Victor Kossakovsky）執導，劇情透過1隻豬、1隻獨腳雞和2隻牛的農場日常，訴說深刻感人的故事，成功吸引名導接踵朝聖。曾獲坎城金棕櫚獎的美國導演葛斯范桑（Gus Van Sant）盛讚該片是「大師的完美神作，極美！必看！」而《羅馬》奧斯卡最佳導演艾方索柯朗更是熱愛該片，他表示《農場我的家》迫使觀眾拋棄對於語言、評判的成癮，「帶領我們體驗崇高的親情與生命的力量」。為拍攝該片，導演柯薩科夫斯基特別赴挪威奧斯陸附近一座農場「選角」，「甘妲」不畏生地走來，讓柯薩科夫斯基深深被打動，「我們找到女主角了！豬界的梅莉史翠普！」。《農場我的家》29日在台上映。 ,中國時報,{}
2021,4,28,奧斯卡收視跌58%影帝頒獎冷場,第93屆奧斯卡金像獎頒獎典禮在台灣時間26日落幕，不過疫情攪局下，不但缺少大片加持，也大幅精簡節目數量，即使由金獎導演史蒂芬索德柏（Steven Soderbergh）擔綱總製作人調整頒獎順序，但收視率還是再創歷史新低，僅吸引約985萬收視人口，較去年的2360萬人銳減了58％。今年奧斯卡頒獎是疫情後第一場領獎人都到場的盛會，但星光相較以往仍黯淡許多，參加人數從數千人縮水成數百人。據尼爾森公司（Nielsen）27日公布的初步數據，本屆奧斯卡頒獎典禮收視人口跌破千萬大關，許多廣告主鎖定的18至49歲收視群，更較去年流失64％。至於影帝頒獎結果也備受討論，有部分網友認為，典禮最後沒頒給呼聲高的已故演員查德維克博斯曼（Chadwick Boseman），讓影迷失望，且得獎的安東尼霍普金斯（Anthony Hopkins）未出席領獎，節目草草結束，瞬間冷場。不過博斯曼的家人跳出來呼籲網友冷靜，其兄德里克（Derrick Boseman）表示，一家人並沒有因獎落他人之手而難過，「因為每位獲提名的演員都很出色，值得獲獎」。 ,中國時報,{}
2021,4,27,《游牧人生》拿下奧斯卡最佳影片、女主角等3大獎 首位亞裔女性 趙婷奪最佳導演,第93屆奧斯卡獎26日揭曉，首度選在洛杉磯地標聯合車站舉辦，今年典禮受疫情影響延後2個月，在史上最長獎季的終幕締造多項影史紀錄，大陸出生的趙婷順利以《游牧人生》奪下最佳導演獎，是繼2010年凱薩琳畢格羅（Kathryn Bigelow）以《危機倒數》奪獎後，影史第2位女導演、更是首位亞裔女導演奪得奧斯卡最佳導演獎，《游牧人生》還榮獲最佳影片與女主角共3獎，是本屆最大贏家。中文分享三字經 籲秉持善念大陸名演員宋丹丹之女趙婷，是繼李安後第2位榮獲奧斯卡導演獎的華裔導演，發表感言時她表示小時候常與父親輪流背誦詩詞，以中文分享《三字經》中的「人之初，性本善」是影響她最深遠的一句話，藉此鼓勵在當下亂世中秉持善念的重要，「這個獎獻給有信念與勇氣秉持善念、並且不論多困難都對彼此維持善意的人們，你們激勵我持續向前」。《游牧人生》改編自同名報導文學，描繪一群經濟弱勢在美國中西部以車為家、互相扶持，沒有刻意的政治批判，採用大量真實「游牧人」堆疊出平淡卻深刻的多面向人物側寫，女主角法蘭西絲麥朵曼（Frances McDormand）飾演為存留亡夫回憶而拒絕安定的寡婦，成功奪下人生第3座奧斯卡影后獎座，直逼凱瑟琳赫本（Katharine Hepburn）的4屆影后紀錄。安東尼霍普金斯 83歲再封帝本屆最大驚喜，是83歲的安東尼霍普金斯（Anthony Hopkins）擊敗盡收各大工會獎的已故演員「黑豹」查德威克鮑斯曼（ChadwickBoseman），以《父親》中失智角色成為史上最年長的奧斯卡得獎人。他在該片角色身心都徹底失控，在晚年交出最震撼人心的生涯傑作，得獎實至名歸，是他繼1992年《沉默的羔羊》後，暌違近30年的第2座奧斯卡影帝獎座。尹汝貞摘女配角 韓星首鍍金韓國資深女演員尹汝貞昨以《夢想之地》中口無遮攔的奶奶角色，毫無懸念奪下最佳女配角獎，成為奧斯卡史上首位奪下演員獎的韓國演員；在《猶大與黑色彌賽亞》飾演黑豹黨民權領袖的丹尼爾卡盧亞（Daniel Kaluuya），也延續聲勢奪下最佳男配角獎。《藍調天后》的妝髮設計米亞尼爾（Mia Neal）和賈米卡威爾森（Jamika Wilson）則是奧斯卡妝髮設計獎的首位黑人得主。 ,中國時報,"{'影后': 2, '黑色': 1}"
2021,4,27,安東尼霍普金斯稱帝 嘆博斯曼早逝 法蘭西絲麥朵曼 奧斯卡3度封后,第93屆奧斯卡頒獎典禮於台灣時間26日上午登場，影帝殊榮由老戲骨安東尼霍普金斯（Anthony Hopkins）奪得，出道超過一甲子的他，憑《父親》一角成功拿獎，擊敗原本聲勢極高的已故男星查德維克博斯曼（Chadwick Boseman）等人。拿盡各大工會獎的博斯曼意外錯失影帝寶座，引發不少影迷抗議，昨典禮還特地一改過往頒獎順序，將男主角獎排在最後一個獎項，沒想到期待的高潮落空，未出席的霍普金斯被唱名得獎後，典禮便突兀地結束。昨人在家鄉英國威爾斯的霍普金斯，一早起床獲知得獎也特地錄影致謝，「我真心沒料到會拿獎，非常感激。在此我也向查德維克博斯曼致敬，他太早離開我們了」。演《父親》想起亡父今年83歲的霍普金斯曾憑《沉默的羔羊》獲頒最佳男主角，共入圍奧斯卡6次，這回以史上最高齡影帝之姿改寫紀錄。他在片中展現出老年人罹患失智症後憤怒、多疑、慌張、悔恨、悲傷、思念等多種情緒的瞬間轉變，演技爐火純青，日前接受主持人史蒂芬柯拜爾（Stephen Colbert）訪問時打趣說：「其實還滿簡單的，畢竟這行我已經做很久了。」霍普金斯形容演戲對他而言是一項有給薪的興趣，演出《父親》也讓他想起病逝的爸爸，進而思索人生在世及死亡的意義，對自己的角色充滿喜愛，「因為這是對生命奧祕的探索，看著那懾人絕美的生命慢慢地流失，棒透了！」問起80幾歲的他還有什麼想達成的事？他微笑說道：「有件簡單的事，就是再繼續20年。」影后則由《游牧人生》女主角兼監製的法蘭西絲麥朵曼（FrancesMcDormand）奪下，該片也獲得最佳影片，讓她成為同時以監製、演員身分獲獎的第一人。今年63歲的她3度封后，在台上簡潔有力地說道：「我沒有話要說，我的聲音是我的劍，所謂的劍就是我的工作，而我熱愛工作，謝謝給予我這個獎。」。 ,中國時報,{'影后': 1}
2021,4,27,《游牧人生》大贏家 趙婷偕男友走紅毯,第93屆奧斯卡最大贏家《游牧人生》由華裔導演趙婷執導、影后法蘭西絲麥朵曼（Frances McDormand）監製並主演，聯手風光拿下最佳影片、導演和女主角3大獎。頒發最佳影片時，2人帶著片中出現的真實游牧族一同上台，麥朵曼也如片中一般以狼嚎致敬，「請多多以大銀幕觀賞這部片，如果有一天情況允許的話，帶上你親愛的親友，一同肩並肩到戲院看每部參與今晚盛會的電影」。麥朵曼出生即遭生父母遺棄，6個月大時被來自加拿大的夫婦領養帶大，遭遺棄的憤怒成為她生命中的養分。她在《游牧人生》展現淬煉人生的韻味，為詮釋離群索居的無家者，在開拍數月前就先以改裝貨車為家，四處打零工實際成為游牧族，最終交出傲人成績。趙婷的男友約書亞詹姆斯理查茲（Joshua James Richards）擔任該片攝影師，小兩口昨一同走上紅毯，可惜男方在最佳攝影獎鎩羽而歸。兩人在大學時期就結識交往，並合作多部作品，約書亞形容2人在合作中相互學習，「這種感覺，就像製作音樂一樣，我們學到了很多的和弦，就可以演繹出自己的音樂了」。 ,中國時報,"{'紅毯': 2, '影后': 1}"
2021,4,27,最佳國際電影 《醉好的時光》導演將獎獻亡女,皮克斯新作《靈魂急轉彎》昨在第93屆奧斯卡獲得最佳動畫長片和最佳原創配樂2獎，導演彼特達克（Pete Docter）昨感激表示：「這是一封給爵士樂的情書。感謝迪士尼，當我們想製作一部關於人生目標的動畫，他們想都沒想就讓我去做，這絕不常見。」他也向全場觀眾說道：「無論你身處何方，擁有何物，都能將其轉化成美好的事物。」最佳國際電影（昔最佳外語片）一如預期，頒給丹麥電影《醉好的時光》，該片由坎城影帝邁茲米克森（Mads Mikkelsen）主演，講述鬱鬱寡歡的中年教師以酒精實驗打破沉悶生活，導演湯瑪斯凡提柏格（Thomas Vinterberg）上台領獎時幽默說道：「感謝投資製作方願意冒險拍1部4個醉酒男人教小朋友們喝酒的電影。」導演在拍片時面臨愛女意外離世，該片在女兒的學校、教室取景拍攝，她的同學也參與演出，他流淚憶述：「女兒原本很喜歡這部片的劇本，也計畫出演，最終遺憾未能成行，這部片為她所拍，她是奇蹟的一部分，此時與我們同在」，最後將電影榮耀獻給女兒，場面動容。 ,中國時報,{}
2021,4,26,又甜蜜又苦楚 賈斯汀分享電影配樂祕辛,全球票房破億的電影《樂來越愛你》（LaLa Land），劇中多首歌曲旋律動聽，觀眾琅琅上口，更拿下奧斯卡最佳原創配樂，作曲家賈斯汀．赫維玆透露電影音樂背後的祕密，必須同時呈現兩件事，那就是「又甜蜜又苦楚」。「我離開電影院之後，還會記得劇中的旋律嗎？這是我不斷思考的事情。」賈斯汀表示，這是一部浪漫電影，還有豐富的歌舞元素，「什麼是愛情的滋味？我希望觀眾聽見甜美的旋律時，還會同時湧現苦楚的感受，在聽見悲傷音樂時，又能從中感受到一絲甜蜜，這就是愛情。」此外，賈斯汀表示，動聽的旋律之外，一部歌舞電影，也要能吸引觀眾目光，「必須在開頭的10分鐘，讓觀眾清楚感覺到這是一部歌舞劇電影。否則很容易失去興趣。」為此，全片開頭，就有一大段在高速公路上塞車，駕駛與乘客因此下車唱歌、跳舞的段落，令觀眾印象深刻。賈斯汀現年35歲，前年曾來台擔任電影交響音樂會指揮，他6歲學琴，10歲開始作曲，從小學習古典音樂，巴哈、貝多芬、馬勒等人音樂，都是他的養分。近期《樂來越愛你》電影交響音樂會將重返台灣演出，由楊士弘指揮長榮交響樂團，鋼琴獨奏由爵士鋼琴家陳若玗擔任。於5月21日、22日在台北國家音樂廳演出，6月4日在高雄衛武營歌劇院、25日台中國家歌劇院登場。 ,中國時報,{}
2021,4,28,丹麥電影奪奧斯卡 李奧納多買《醉》 下海拍美國版,丹麥電影《醉好的時光》勇奪奧斯卡最佳國際電影。第93屆奧斯卡頒獎典禮前天正式落幕，丹麥電影《醉好的時光》一如預期拿下最佳國際影片。根據外媒《Deadline》報導，好萊塢已買下版權準備翻拍，且正是李奧納多迪卡皮歐的製片公司，他除了將擔任監製，也有望親自演出，不少影迷都相當期待看他要如何詮釋片中喝「嗨」的模樣。李奧納多迪卡皮歐的製片公司已買下《醉好的時光》翻拍版權，他除了擔任監製，也有望親自演出。此外，本屆典禮受武漢肺炎疫情影響，已從原訂的2月28日延後到前天舉行，更找來包括「小布」布萊德彼特、「福伯」哈里遜福特、影后瑞絲薇斯朋，「小丑」影帝瓦昆菲尼克斯等重量級影人擔任頒獎嘉賓，但依舊救不了收視率，外媒昨報導收視人口僅約985萬人，較去年銳減58%，創下歷史新低。 ,自由時報,{'影后': 1}
2021,4,27,《奧斯卡頒獎》霍普金斯83歲再稱帝創紀錄,安東尼霍普金斯雖然缺席奧斯卡頒獎典禮，特別拍攝影片分享獲獎心情。影帝安東尼霍普金斯繼1992年《沉默的羔羊》演出「人魔」漢尼拔封帝後，時隔29年，昨憑《父親》2度獲得奧斯卡影帝，更以83歲高齡刷新影帝最年長得獎紀錄。霍普金斯雖因疫情缺席典禮，但事後也拍影片分享得獎心情，更不忘向一同入圍的已故「黑豹」查德維克博斯曼致敬。霍普金斯在影片中透露自己在老家威爾斯，直說沒想到能以83歲的年紀獲獎，提到查德維克也感嘆對方太早離開。他在《父親》中詮釋罹患失智症的父親，昨也在IG上傳於墓園拍攝的影片，中氣十足的朗讀著英國詩人狄倫湯馬斯的詩《不要靜靜走入長夜》，來緬懷自己的父親，令人動容。除霍普金斯封帝，《父親》也獲最佳改編劇本，編導弗洛里安澤勒大讚霍普金斯是最棒的演員，「我的故事就是為他所撰寫。感謝他在拍片過程中，展露出無限的才華。」電影上週末榮登全台新片票房冠軍，目前持續上映中。,自由時報,{}
2021,4,27,曾批中國充滿謊言遭封殺 趙婷奪奧斯卡雙金,導演趙婷昨以電影《游牧人生》勇奪第93屆奧斯卡最佳影片、導演兩項大獎。此外，曾以《沉默的羔羊》封帝的安東尼霍普金斯，時隔29年再憑《父親》2度受肯定，更以83歲高齡，刷新影帝最年長得獎紀錄，讓他分享得獎心情時都表示難以置信。,自由時報,{}
2021,4,27,《奧斯卡頒獎》游牧人生3金大贏家 趙婷亞裔女導演第1人 法蘭西絲麥朵曼3度封后,趙婷昨憑《游牧人生》喜獲最佳影片及導演雙獎，成為亞裔女導演第一人。的混音師麥克沃夫史奈德。除《游牧人生》獲得3大獎肯定，本屆共有6部片獲得2獎項，包括《父親》獲最佳男主角、改編劇本，《猶大與黑色彌賽亞》獲最佳男配角、原創歌曲；《靈魂急轉彎》獲最佳動畫長片、原創配樂；《藍調天后》獲最佳服裝設計、化妝與髮型設計；《曼克》獲最佳攝影、美術設計；以及《靜寂的鼓手》獲最佳音效及剪輯，得獎數目相當平均。,自由時報,"{'黑色': 1, '服裝': 1}"
2021,4,26,【奧斯卡】趙婷今天競搶小金人 大熱門尹汝貞累翻了,導演趙婷（左）被看好憑《游牧人生》一舉拿下最佳影片、導演等大獎。第93屆奧斯卡頒獎典禮今天上午登場，以最多少數族裔獲提名人數、最多女性導演獲得提名，被稱為史上最多元的一屆，以《游牧人生》入圍最佳導演的趙婷，除被看好繼李安之後再為華裔爭光，該片也有望拿下最佳影片。73歲韓星尹汝貞以《夢想之地》入圍奧斯卡最佳女配角，獲外界看好獎座已是囊中物。以電影《夢想之地》入圍本屆最佳女配角的73歲韓星尹汝貞，被外界看好獲獎，南韓OCN電視台24日特別播出《尹Story》特輯，與她合作電影《黃真伊》的宋慧喬透露，入圍當天立刻傳訊息恭喜她，沒想到尹汝貞只回覆：「我已經累翻了。」讓宋慧喬笑說：「這就是老師的風格。」第93屆奧斯卡頒獎典禮星光大道及頒獎典禮，於今天上午6點半起於台視轉播。,自由時報,{}
2021,4,30,ROLEX X OSCAR 一探電影與製表職人精神,聯合車站為第93屆奧斯卡綠坊休息室的會場，勞力士已自2016年負責綠坊休息室的招待工作，今年並於車站側翼的拱形天花板下打造大會專屬私人空間。圖 / 勞力士提供 Oyster Perpetual Datejust 36腕表最大特色，在於將「三角坑紋」運用於36毫米的黃金表面。圖 / 勞力士提供 馬丁史柯西斯喜愛的Oyster Perpetual Day-Date腕表，亦多次出現在其電影之中。圖 / 勞力士提供 Oyster Perpetual Datejust 36腕表最大特色，在於將「三角坑紋」運用於36毫米的黃金表面。圖 / 勞力士提供 2021年奧斯卡頒獎典禮甫於日前落幕，演員出席紅毯典禮時，身上穿戴的高級珠寶、名表總為人熱烈討論。但你可知道：在洛杉磯聯合車站（Los Angeles Union Station）裡有個綠色空間，在此處來賓可盡情放鬆、保持社交距離，但這個空間究竟是誰打造的？綠坊休息室 用影史打造時空光廊早從2016年起，勞力士（ROLEX）便成為「綠坊休息室」的負責品牌，並在2017年與美國電影藝術與科學學院正式合作，也與奧斯卡金像獎於同年正式結盟。聯合車站側翼拱形天花板下的私人空間，成為今年綠坊休息室的所在，牆上掛有聯合車站圖案的布料，以綠葉構成的「綠色牆壁」、同時擺設以勞力士經典腕表與電影中的難忘時刻，例如馬龍白蘭度（Marlon Brando）在「現代啟示錄」中飾演的寇茲上校、或保羅·紐曼（Paul Newman）在「金錢本色」的演出，共築了這一方集結珍貴影史回憶的時空光廊。勞力士和電影的淵源甚深，品牌早從2002年推出「創藝推薦資助計畫」，現任勞力士代言人馬丁史柯西斯（Martin Scorsese）與探險家兼電影導演詹姆斯卡麥隆（James Cameron）都曾在計畫中擔任導師；勞力士甚至成為奧斯卡電影博物館的創始支持者，該空間將在今年九月於洛杉磯開幕。電影×名表 經典無懼時間更迭事實上，勞力士也深信電影工業與高級手表間的聯集：兩者皆是文化與知識的傳承、也是不隨時間更迭的藝術臻品。在最新釋出的影片中，勞力士嘗試叩問「匠心傑作（Masterpiece）」的真義，一分鐘的影片最後以Perpetual為關鍵字，並秀出年度新品：Oyster Perpetual Datejust 36腕表，表款呼應品牌年度三大主題之一：別具一格的表面設計，將經典的「三角坑紋」設計，轉化為黃金表面的設計紋飾，表款使用蠔式鋼與黃金。勞力士早在2018年參加威尼斯國際建築雙年展時，便以青銅、電鍍金屬與玻璃為原料，將三角坑紋放大成勞力士展館的外牆設計，摩登而當代的氣韻，將經典設計壯闊具現。,聯合報,"{'紅毯': 1, '珠寶': 1}"
