keyword,count
00,15
007,10
01,2
02,2
04,1
06,2
10,5
100,2
1000萬,2
100多萬,2
100萬,5
101年,1
106萬,2
10億,6
10分,2
10多,1
10幾,1
10日,13
10月,7
10月分手,1
10萬,2
10點,3
10點半,1
11,1
113,1
117億,1
11日,4
11月,12
11萬,1
11點,2
11點半,1
12,22
1200萬,1
120萬,1
121,1
123,1
123億,2
1240萬,1
1250,1
126,1
12億,2
12時,1
12月,3
12萬,2
12點,1
13,13
134億,1
1350,1
1366多萬,1
136億,1
13年,1
13日,2
14,1
140多,1
147億,2
148,1
14億,1
14日,2
14萬,1
14號,1
15,3
150,5
1500萬,4
150萬,2
152,2
15萬,3
15萬2000,1
16,5
1600萬,1
160萬,1
161,1
1680,1
16日,5
16萬,1
16萬2千,1
17,7
1700萬,1
170萬,2
173億4400萬,1
175億,6
177億,1
17世紀,1
18,28
1800萬,3
1850年,1
1853年,3
1854年,1
185萬,1
186,1
19,17
1917,6
192,1
1922年,1
1927年,1
1928年,1
1929年,10
1930年,1
1930年代,2
1931年,1
1934年,1
1939年,2
1940年,1
1941年,1
1945年,1
1947年,1
1948年,1
1949,1
1951年,1
1952年,3
1953年,1
1954年,3
1955年,1
1957,1
1959年,1
1960年代,1
1961年,2
1962年,1
1963年,2
1964年,2
1967年,1
1968年,1
1970年,1
1970年代,3
1971年,1
1972年,1
1974年,2
1976年,4
1979年,3
1980年,1
1980年代,4
1981年,2
1982年,1
1984年,1
1985年,1
1986年,1
1987年,5
1988年,2
1989年,6
1990年,3
1990年代,6
1991年,2
1992年,4
1993年,7
1994年,2
1995年,6
1996年,8
1997,2
1997年,9
1998,1
1998年,6
1999,1
1999年,2
19世紀,5
19日,1
1億,2
1億2千萬,3
1億4200萬,1
1億5000萬,1
1億5478萬,1
1億7700萬,1
1成,1
1日,5
1月,11
1萬5千,1
1號,1
20,33
200,4
2000,2
2000年,5
2000萬,5
2001年,8
2002年,11
2003年,8
2004年,12
2005,5
2005年,11
2006年,12
2007年,10
2008年,6
2009年,7
2009月,1
200多,2
200萬,2
2010,3
2010年,12
2011,9
2011年,12
2012年,14
2013,1
2013年,14
2014年,17
2015年,13
2016年,5
2017年,9
2018,4
2018年,5
2019年,3
2021,5
2021年,1
2024萬,1
20億,1
20多,6
20年代,3
20日,4
20萬,3
21,4
210,1
2100萬,3
214萬,1
218萬,1
21世紀,1
21日,6
22,3
2201萬,1
2240億,1
224萬8000,1
225萬,2
228,3
22日,10
22號,1
23,14
2300萬,1
230萬,1
2360萬,4
23年,1
23日,9
23萬2千,1
2400萬,1
24億,1
24日,6
24萬,1
25,3
2500萬,1
250萬,2
2525萬,1
25年,1
25日,11
2650萬,4
268萬,1
26日,9
270,1
270萬,2
279,1
27日,8
28,2
2800萬,1
2815萬,1
2890萬,1
28億,1
28日,10
29,1
291萬,2
295,1
2960萬,2
296萬,1
29日,7
2d,1
2億,6
2億多,1
2千萬,2
2成,2
2日,6
2月,13
2樓,2
2獎,2
2萬,3
30,19
3000多,1
3000萬,4
3030萬,1
303億,1
3048,4
30億,3
30分,7
30多,1
30萬,1
31,1
318萬,1
32,2
3200萬,2
3280,1
3290萬,3
33,1
333,1
33億,1
3400餘萬,1
3440萬,1
35,4
350,2
3500萬,1
36,9
3600萬,2
3639萬,1
3660萬,1
36億,3
36年,1
36萬,1
38,2
38億,1
3c,6
3d,38
3d版,2
3r,1
3億,13
3億2000萬,1
3千,1
3日,1
3月,29
3獎,6
3萬,1
3點,1
40,1
400,1
4000,1
4000萬,4
400萬,4
4030萬,3
40多,1
40年代,1
40幾,1
414,1
417億,1
42,2
420,1
42億,1
43,1
4300萬,3
431萬餘,1
4321萬,1
44,8
45,3
45億,1
474萬,1
48,1
480萬,1
4k,1
4minute,1
4億,9
4億多,1
4兆,1
4冠王,1
4日,3
4月,6
4獎,2
4萬,1
4點,3
50,22
500,9
5000,1
5000萬,7
500多萬,1
500萬,6
50億,2
50年代,2
51,2
5131萬,1
51億,1
52,1
5200萬,1
53,1
540億,1
54萬1000,1
55,1
56,3
5600萬,1
57,2
5740萬,1
575,1
57億,1
57萬,1
57萬5000,1
58,1
58萬,1
59,2
5900萬,1
590萬,1
59億,1
5億,16
5億3千萬,1
5億8342萬,1
5成,2
5日,2
5時,1
5月,11
5獎,2
5萬,5
5點,3
60,6
600,2
6000億,1
6000多,1
6000萬,1
600萬,2
6077萬,1
60多,1
60年代,3
61,3
6168萬,1
61億,1
63,5
64,1
640,1
65億,1
66,4
66兆,1
66萬1099,1
67,1
67億,1
68億,1
68萬2,1
69億,1
6億,9
6兆,1
6千,3
6千多,1
6成,1
6日,1
6月,3
6萬5243,1
6點,4
6點半,2
70,1
7000萬,2
703,1
708,1
70多,1
70年代,6
70萬,1
71億,1
7258,2
727億,1
74,1
75,6
7500萬,2
77,1
77億,1
78,1
7億,3
7千多,1
7成,4
7時,1
7月,2
7萬,1
7點,3
7點半,1
80,1
800,2
800萬,1
80年代,1
80幾,1
80萬,1
82,1
83,14
8300萬,1
84,1
85,11
850萬,1
86,2
87,2
87萬,1
88,4
88億,1
89,4
8900萬,1
89億,2
8億,5
8成,1
8日,3
8月,2
8點,13
8點半,2
90,8
900,2
90年,1
90年代,1
91,5
92,2
93,1
9300萬,1
94,1
9486萬,1
94萬5000,1
96,2
98,1
985萬,3
99,2
9億,7
9成,2
9日,1
9時,1
9月,3
9萬4千,1
9點,12
9點半,3
a1,1
a4,2
a5,1
abc,5
abderrahmane,1
abraham,1
abusedby,1
academy,3
ackermann,1
aclu,4
acra,3
actors,1
adam,4
adams,2
adele,3
affleck,1
agb,1
agency,1
agnes,1
akoya,1
alaia,1
alaïa,1
alber,1
alejandro,7
alexander,14
alexandre,1
alexis,1
alfonso,2
ali,2
alice,1
alicia,4
all,1
alrosa,1
altiplano,1
amalia,1
amanda,1
american,1
amour,1
amy,3
and,3
ang,3
angelababy,1
angeles,1
angelina,2
aniston,1
anna,17
anne,1
annie,5
ansel,1
anthony,4
antique,1
aparicio,1
apocalypse,1
apt,1
are,1
argo,1
armani,35
arpels,1
arquette,1
art,3
arthur,1
artists,1
arts,2
aseparation,1
asghar,2
ashley,1
asia,2
association,1
atelier,1
atmos,1
attah,1
audrey,1
august,3
aviator,2
award,1
awards,4
azzedine,1
a咖,1
b2,2
b4,2
babel,1
bafta,7
bag,5
bagsnob,2
baguette,1
bakalova,1
ball,1
balmain,2
bao,1
bar,1
barry,1
basketball,1
bbc,3
beach,1
bear,2
beatty,1
beauty,1
bedior,5
beers,2
benedict,1
benjamin,1
berluti,1
best,1
bet,1
bette,1
beyonce,1
biel,1
