年,月,日,標題,內容,報社
2021,5,1,精選電影／羅蘋萊特自導自演 帶給觀眾希望 《勇抱大地》金球視后重獲新生,最近將上映的電影感動人心，羅蘋萊特自導自演《勇抱大地》帶給觀眾希望，柯林佛斯、史丹利圖奇主演《永遠的我們》探討愛情的真諦，還有《如果雨之後》講述一段跨城市的浪漫手寫情緣。銀幕傳遞感性和人性的溫暖55歲美國女星羅蘋萊特（Robin Wright）憑藉美劇《紙牌屋》榮獲金球獎視后，她自導自演最新力作《勇抱大地》，描述一個人在遭逢改變人生的悲慘事件後，如何尋找一個全新的生活方式。羅蘋萊特在片中飾演的伊蒂霍澤，選擇離群索居，獨自前往懷俄明州杳無人煙的深山，沒有野外求生經驗的她，在瀕臨斷糧及失溫的危險時，被居住在當地的米蓋包洛斯（達米安畢契爾飾）救了一命，更教她各種求生技能，也讓她敞開心房深刻地了解大自然。2個曾經受創的心靈，發展出一段意想不到的友情，他們之間淡淡的感情連結，也為彼此帶來心靈的療癒及上天的恩典。當時美國幾乎每星期都會發生槍擊事件，羅蘋萊特收到經紀人寄來的劇本後，認為故事既感動人心又符合時事，「想到那些痛失至親的可憐人，每天都忍不住哭泣，這劇本探討的就是這樣的痛苦。故事主人翁因為一場悲劇失去一切，發現自己已無法在這個沒有她置身之地的世界生存，因為她所知的世界已經消失了，於是她必須為自己創造一個全新的世界」，便決定將它拍成電影。該片還因為找不到女主角差點流產，最後羅蘋萊特乾脆自己來演，她笑說「自導自演的優勢就是，我很清楚我想要達到什麼效果」，省下很多和演員討論的時間。至於飾演男主角米蓋的達米安畢契爾（Demian Bichir）則是一開始就對這個故事很有感覺，演完後更加愛上電影呈現的感性和人性的溫暖，「很高興在這巨變且混亂的世界中，還能看到如此細膩和勵志的電影」。電影熱映中。《永遠的我們》柯林佛斯譜同性戀曲由奧斯卡影帝柯林佛斯（Colin Firth）及史丹利圖奇（StanleyTucci）主演新片《永遠的我們》（Supernova），描述愛情長跑多年的同性愛侶，在其中一人罹患早發性失智症後，彼此陪伴珍惜的感人故事。兩位相知超過20年的好友，在片中互動細膩自然。電影5月9日上映。《如果雨之後》姜河那一看劇本就噴淚「百想視帝」姜河那、「青龍影后」千玗嬉主演《如果雨之後》，描述從一封偶然寫給小學暗戀對象的信開始，透過來回手寫信而展開一段相隔兩地的愛情故事。深情指數媲美岩井俊二經典作《情書》，連姜河那也自曝在軍中首次拿到劇本時爆哭。電影5月7日上映。 ,中國時報
2021,4,27,社會觀察 遊牧的人生選擇權,趙婷導演的《遊牧人生》是今年奧斯卡最大贏家，一舉拿下最佳影片、女主角、導演三大獎，主角是一批以車為家、逐工作而居的現代遊牧民族，看似平淡的劇情，卻在疫情導致全球人們生活產生巨變的這兩年，引發意想不到的巨大共鳴。由影后法蘭西絲麥朵曼飾演的主角芬恩是名教師，與老公住在石膏公司擁有的小城，鶼鰈情深，沒想到公司宣布停業，小鎮也要清空，不光老公失業，芬恩的工作也飛了。老公病逝後她孑然一身，付不出房租更付不起房貸，決定改裝車為家，能煮、能睡、還裝上馬桶，開車上路才察覺美國早有一群跟她一樣的「車居人」，耶誕節前夕他們群聚在亞馬遜網站的倉儲附近理貨包貨、即時把耶誕禮物送到消費者手中，但眾人過節時卻是他們的失業日，得移往另一處打工，永遠「在路上」。這部片最令人訝異的是讓觀眾「看到」在「美國優先」的大旗底下還有這樣一群人們，他們多半是中老年人，擁有良好教育、談吐不失優雅，但在金融海嘯中幾乎滅頂，浮沉至今，很難想像在美國大規模疫情封鎖導致經濟蕭條後，該何去何從？小時候最喜歡卡通《小英的故事》，小女孩主角獨自駕著蓬車穿越歐洲找爺爺，一路遇到好人也遇到壞人，用木頭削成叉子湯匙、自己生火炊食，充滿荒野求生的樂趣，這都只是過程，小英終究會找到爺爺。小女孩老了怎麼辦？芬恩遇到不少好人，但各種挑戰還是辛苦得拳拳到肉。馬桶能用嗎？晚上能停在加油站嗎？半夜低溫會冷死人嗎？車壞了有錢修理嗎？各種的「怎麼辦」考驗著她。當救贖的安樂窩出現，她會怎麼選擇？電影的終極命題就在人生走到這個境地，還能保有選擇權嗎？電影得獎之後，當然會引起關注，讓片中字字珠璣的「金句」流傳。 好比她與做地產的妹夫對話，「你說動人們買下一輩子都負擔不起的房子，這樣不奇怪嗎？」但我更喜歡芬恩與朋友之間的友善與分享，這群人說實話是什麼都沒有了，但他們還能互相幫助，還有夢想，而且正是因為人生什麼都沒有了，也不必擔心未來，更懂活在當下，在看似沒有選擇的無望人生中，勇敢做出選擇。法蘭西絲麥朵曼除了演技精彩，她的選擇更超前同儕好幾步，天生「女王範」更贏得尊敬。4年前以《意外》拿下影后，她致詞時留下「附加條款」密語，意指明星接戲時應透過附加條款要求工作團隊要性別平等、種族多元。這回《遊牧人生》領獎時說，「我的聲音就是我的劍！」相信這樣的她，絕對不會因為自己無法完成承諾，而要求旁人「只要心胸開放，人生就不會這麼沉重了！」對吧！（作者為作家）。 ,中國時報
2021,5,2,2021 04/25 ~ 05/01 一周大事,國內27日：台北市松山警分局中崙派出所16日遭黑衣人闖進叫囂、毀壞電腦，市警局長陳嘉昌坦言「錄到影像被格式化刪除」，所長、副所長依湮滅證據等罪嫌函送，分局長林志誠也遭拔官。29日：華航機師確診事件越演越烈，除造成多起機師家庭群聚，檢疫旅館也首次淪陷，華航所屬「諾富特飯店」，出現我國首例防疫旅館確診個案（案1120）。30日：民進黨台北市黨部評委召集人趙映光之子趙介佑涉販毒、詐欺案，掀起政治風暴，趙映光宣布辭去評召。國外25日：華人女導演趙婷與影后法蘭西絲麥朵曼聯手打造的「游牧人生」，總共贏得第93屆奧斯卡金像獎最佳影片、導演、女主角等三大獎。29日：最新一期英國「經濟學人」雜誌以台灣雷達圖為封面，左有中共五星旗、右有美國星條旗，並有軍艦、軍機光點，稱這是「地球上最危險地區」。30日：以色列北部莫蘭山舉行猶太教篝火節慶祝活動，發生嚴重踩踏事故，至少45死、150人受傷。,聯合報
2021,5,1,松山之亂真相 等待吹哨者,近日松山之亂疑雲籠罩，儘管上至行政院下至警局派出所均極力澄清，但國人最大的疑惑仍是，到底真相是什麼？是否要期望台灣版的吹哨者凱薩琳甘恩現身，謎團才能撥雲見日嗎？凱薩琳甘恩在英國國家通訊情報局擔任翻譯，二○○三年一月，她看到一份涉及美國為發動伊拉克戰爭而尋求英國協助的機密郵件。凱薩琳不認同這種戰爭，她的良知現形在前的是「阻止戰爭，拯救性命」，她遂將此密件訊息透露給「觀察家報」，該報以頭版獨家見報，震驚世界。她隨後被英國當局以洩密之由，逮捕拘留。二○○四年二月案子開庭，很多團體為她聲援奔走抗議，開庭不到半小時，檢察單位主動撤銷告訴，凱薩琳迅即被釋放。扮演吹哨者的凱薩琳真實故事，在二○一九年被英美合拍成傳記電影「瞞天機宻」（Official Secrets），劇本是改編自凱薩琳工作生涯的小說。吹哨者原本就被認為是高度風險的角色，凱薩琳卻有過人的膽識及人格特質。有趣的是，一九七五年凱薩琳出生在台灣，雙親均為英國人，父親曾在東海大學外文系任教，凱薩琳則自小就居住台中，並在台中馬禮遜美國學校就讀至高中畢業才回英國。十多年的台中生活，使她的中文極佳；她被許多媒體形容為「不做國家機器，為人民工作」、「拒絕幫政府欺騙人民」等諸多特質，是否與自幼成長在台灣相關？筆者不敢確定。但英國權威影視刊物「銀幕」 （Screen Daily）讚許凱薩琳有堅強性格，及有台灣媒體認為她阻止戰爭與拯救生命是「直覺與良心」，都是貼切的評價。「直覺與良心」不是深奧知識難以學習，而是發自人的本性，如禪宗六祖惠能所說的「自性」，是與生俱有。但為何世上仍有不倫理的情事呢？六祖的解釋是，因為我們飲食男女被世俗貪嗔癡等矇蔽，而失去一顆明淨的心。明淨的心也不是形而上，最近還在世界舞台上被見到，近日奧斯卡金像獎最佳導演的頒獎台上，得獎的華人女導演趙婷向全球說明「人之初，性本善」三字經，影響她的處事為人甚為深遠，直到今日她仍對性善深信不疑。她就在詮釋人類亟需明淨的心。松山之亂也好，女老師不明就裡被上手銬也好，攸關基本人權。至今仍有許多公僕沒說真話，直覺與良心的性善面已被世俗毒害遮蔽，明淨的心未被大眾發覺。如果公部門仍不自省，那麼請吹哨者勇於揭弊，並蔚成輿論壓力，從結構上矯正偏執的現況，也是民主制衡的表徵。,聯合報
2021,4,29,梅伊馬斯克的風格人生,在化妝品廣告裡，梅伊馬斯克招牌的銀色短髮配上爽朗笑容，絲毫不在意大笑而產生的皺紋。圖╱摘自MayeMusk IG 在化妝品廣告裡，梅伊馬斯克招牌的銀色短髮配上爽朗笑容，絲毫不在意大笑而產生的皺紋。圖╱摘自MayeMusk IG 梅伊馬斯克（Maye Musk）絕對是當代女性愈活愈精彩的最佳實證。1948年出生於加拿大，1950年隨父母移民至南非，1970年與前夫Errol Musk結婚，他們的兒子就是現今全球首富，Tesla的執行長Elon Musk伊隆馬斯克。在許多媒體的報導裡，梅伊馬斯克經歷過家暴與一貧如洗的生活，是什麼讓她重新站起來，在72歲的今天，依舊保持一個持續冒險的，年輕的心？「我不怕變老的原因之一，是因為在我的人生裡，下一個10年一直比上一個10年更好」，在2019年最後一天出版的個人回憶錄：「女人的計畫 A woman makes a plan：Advice for a Lifetime of Adventure，Beauty，and Success」裡，梅伊馬斯克分享了自己對於冒險，美麗和成功的看法。其實這三者之間，是相輔相成的；沒有冒險就不會有成功，沒有成功也很難有美麗。1979年離婚之後，梅伊馬斯克在兼職模特兒工作，考營養師學位，與單親媽媽這三個角色中不斷轉換，這也許是她人生中最辛苦的一段日子。梅伊馬斯克曾經在1969年參選過南非小姐的比賽，在往後的歲月裡，模特兒一直是她兼職的工作。「誰會想到成了銀髮族之後會一炮而紅呢？我15歲時，他們告訴我模特兒生涯到18歲就會結束，如今71歲了，卻是我這輩子最搶手的時候。」梅伊馬斯克在回憶錄裡這麼說。梅伊馬斯克很早就接觸了模特兒這個行業，但她的成名作，卻都是在50歲以後發生的事。在美國維珍航空的廣告裡，梅伊馬斯克穿著一身白色西裝，啜飲著香檳；在化妝品Cover Girl的廣告裡，她換上了黑色露肩禮服，招牌的銀色短髮配上爽朗的笑容，絲毫不在意大笑而產生的皺紋。梅伊馬斯克也玩Instagram，她的帳號mayemusk目前有超過40萬的追蹤者，在這裡有她的工作紀錄，也有她的日常生活照。2016年在紐約的Met Gala晚宴，她穿上韓國設計師Yuna Yang為她量身訂製的藍色褲裝，背後還加上一條同色系的藍色蕾絲裙擺。2017年的Vanity Fair年度奧斯卡派對上，梅伊馬斯克與兒子伊隆馬斯克共同出席，這次她穿的是一件皮革編織的晚禮服，配上同色系皮草外套，充分展現了屬於69歲的雍容華貴。「如果你能從我身上學到任何東西，我希望是這件事：無懼變老，並和其他不怕變老的朋友來往。」這也許是梅伊馬斯克的回憶錄裡，最令人受用的一句話。時尚僅是個人風格的一個部分；一頭銀髮，一個笑容，一顆勇敢嘗試新鮮事物的心，這些才是梅伊馬斯克最迷人的風格。,聯合報
2021,4,27,丹尼爾卡盧亞 勞工之子喊種族平等,丹尼爾卡盧亞成為新科奧斯卡最佳男配角。及素有「英國奧斯卡」之稱的英國影藝學院電影獎等，大放異采。他昨拿著獎座對佛列德漢普敦致意，「在佛列德漢普敦短暫的21年生命裡，他幫助了許多黑人能受教育、吃得上飯，因為他讓受庇蔭的我們能生活在當下，感謝愛，愛是一切。」他認為團結可以帶給大家前所未見的力量，並提及推動徹底變革和種族平等，「不是一個人的事情，我們都有責任」。烏干達裔的丹尼爾卡盧亞在倫敦出生，他曾形容自己是勞工階層的孩子，過去參演英國電視劇「皮囊」受到關注，如今擊敗「芝加哥七人案：驚世審判」薩夏拜倫柯恩、「金屬之聲」的保羅拉西等勁敵，如願抱回奧斯卡小金人。,聯合報
2020,2,16,梳髮繫家庭 平反黑人印象 《Hair Love》獲最佳動畫短片獎,奧斯卡頒獎典禮落幕，獲得最佳動畫短片獎的《Hair Love》，由曾是美式足球員的馬修．切爾瑞執導，以一位父親為女兒梳髮的日常小事，繫起家庭親密情懷。繼已故NBA球星布萊恩後，切爾瑞成第二位獲奧斯卡最佳動畫短片獎的運動員，他感性表示，「這個獎項獻給柯比，希望我們人生第二階段都能像他一樣精采。」身兼編導二職的切爾瑞，曾受外媒採訪提及《Hair Love》創作靈感，他說，「許多黑人父親早在網路上分享為女兒編綁頭髮的過程，但只要我分享他們的影片，許多人都表現得很反常，好像當爸爸與孩子一起總會發生甚麼事，或是需要獲得額外的獎勵，但媽媽卻理所當然似的。」切爾瑞表示，作品無疑是表現黑人家庭的好機會，也能為主流印象的黑人父親平反，「在主流媒體中，你會認為黑人父親永遠不在小孩身邊，我希望利用動畫建立一個黑人家庭，讓大眾沉浸故事中，就像大家喜歡《可可夜總會》和《海洋奇緣》一樣。」在《Hair Love》中，小女孩祖麗迎來日曆圈起的特別日子，滿心期待的跟著部落客美髮影片步驟，試圖打理頭髮，結果一蹋糊塗。心急的父親，將祖麗蓬鬆捲髮視為擂台上的怪物，拿著梳子節節敗退，一度想放棄的他，奇蹟似從部落客影片得到幫助。原來部落客正是祖麗的母親，這讓祖麗父親能在熟悉聲音中，一步步為女兒紮起髮型，最終與祖麗一起到醫院，探望因生病失去頭髮的妻子。不到7分鐘的動畫短片，完整呈現祖麗一家的真摯情感，令人動容。 ,中國時報
2020,2,16,超模挑大梁 《吹哨奇案》扮雙面諜 卡特琳娜免清場 自導床戲一次OK,曾在福特超模大賽勇奪亞軍頭銜的34歲歐洲超模卡特琳娜馬龍（Catrinel Marlon），在電影《吹哨奇案》飾演一名遊走於黑白兩道之間的蛇蠍美人，擁有天使面孔、魔鬼身材的她，首次獨挑大梁演出，片中貢獻火辣全裸床戲，拍攝時毫不扭捏，更霸氣表示不用清場，只拍一次就搞定。導演柯內流波蘭波宇（Corneliu Porumboiu）想要尋找一位能夠讓觀眾留下強烈存在感的女主角，卡特琳娜第一次試鏡時，導演要她示範如何霸氣「抽菸」，結果她輕鬆自如地完美詮釋，讓導演毫不猶豫地就選擇了她。床戲抓住觀眾焦點《吹哨奇案》開場不到10分鐘，有一場極為火辣的全裸床戲，這場18禁的劇情是描述身為雙面間諜的女主角為了提供機密資料，不惜犧牲色相假扮成妓女，用「身體」來通風報信給男主角。導演在拍攝前不斷跟男、女主角反覆溝通，男主角弗拉德伊凡諾夫（Vlad Ivanov）也十分焦慮，怕會放不開，反而是卡特琳娜率先直說「不用特別清場」，還親身指導這場關鍵床戲，告訴導演什麼角度拍才能夠讓觀眾覺得「好看」，表現大方又專業。床戲部分一次到位，事後導演十分謝謝卡特琳娜，大讚她相當敬業，並表示：「這場床戲揭開了這部電影的序幕，這跟一般傳統電影說故事方式很不一樣。以往性感蛇蠍女人在任何電影中，都被認為是毫無作用的花瓶，但我刻意以開場讓觀眾進入狀況，用火辣床戲抓住焦點後，看電影的過程中，漸漸會明白這位蛇蠍美人其實是大有來歷，甚至影響到整部電影的結局。」一舉一動皆被掌握《吹哨奇案》由坎城影展最佳首部作品金攝影機獎得主柯內流波蘭波宇執導，劇情講述過著雙面人生的無間警探，長年爽拿黑白兩道好處，某日兩邊卻同時盯上了他，而身旁還有一位跟他大搞曖昧的蛇蠍美人伺機而動。在這個電子監控無孔不入的時代，一舉一動都被雙方全盤掌控，他將得設法在踉蹌入獄或變成「消波塊」之前殺出生路。《吹哨奇案》代表羅馬尼亞出征今年奧斯卡金像獎的最佳國際影片，導演翻轉形式、跳脫剪輯定律，用東歐冷幽默演繹出一場意外浪漫的諜戰大戲。該片21日在台上映。 ,中國時報
2020,2,11,自認有福 獎獻演員雙親 蘿拉鄧恩53歲生日樂拿女配, 蘿拉鄧恩（Laura Dern）在10日揭曉的奧斯卡獎拿下最佳女配角，她在台上將此獎獻給雙親魯斯鄧恩（Bruce Dern）、黛安拉德（Diane Ladd），感性地說：「有人說永遠不要遇見英雄（不然會失望），但是我說，如果你夠有福分，英雄就會是你的父母。」昨日正逢53歲生日的她開心喊道：「這是有史以來最棒的生日禮物！」蘿拉和演員父母是第一個集體在名人大道留星的家庭，但不代表她從小接受到無微的照顧，她1周大時睡在莫哈韋沙漠一家汽車旅館的抽屜裡，只因父親正在拍攝西部片。她2歲時父母離婚，此後由母親和祖母撫養長大。7歲時蘿拉首次在螢幕亮相，因母親在馬丁史科西斯（Martin Scorsese）1974年的電視劇《愛麗絲不再住這》扮演女服務員，她順便客串吃著香蕉冰淇淋的小女孩。小小年紀的蘿拉為了幾個鏡頭狂吃19種冰淇淋，當時史科西斯就告訴拉德：「妳的女兒注定成為演員。」這次她在《婚姻故事》飾演離婚律師角色，蘿拉說：「我認為這是我第1個，並非內心充滿不安的角色。無論付出什麼代價，她都要贏得勝利。她掌控一切，永遠不會失去冷靜。」無論是扮演無家可歸的癮君子、遊走於精神衰弱的邊緣人或是性感甜姐兒，蘿拉都能毫無保留地攫取觀眾同情心，她說：「我愛我所做的事，我愛這些極其複雜的角色。」。 ,中國時報
2019,3,6,幸福綠皮書的聯想 資深媒體人專欄, 第91屆奧斯卡金像獎上周揭曉，以描述上世紀60年代美國黑人民權運動為背景的《幸福綠皮書》（Green Book）獲得最佳影片獎。都說戲如人生，《幸福綠皮書》講的卻是真人真事，一位氣質優雅的黑人音樂家應邀到美國南部巡演，他雇用了在夜店當保鏢的白人老粗當司機，兩人的膚色與階級形成的反差，在巡演過程中迸出一連串火花。導演花了不少心思鋪陳電影情節，運鏡也極具巧思，這些就留給影評人去說。作為政治觀察者，我卻不能不被電影中的黑白尊卑與現實上的殘酷對比所吸引，並為之浮想翩翩。那是60年代的美國南方，黑人音樂家在舞台上儘管備受歡迎，下了舞台卻受盡奚落。他可以在餐廳表演，卻不能在那裡用餐或上廁所，甚至只能住進專給黑人住的綠皮書旅館（電影名稱由來），而他雇用的白人司機卻可以住較好的酒店。類似的場景在世界各地或許曾出現，例如種族隔離政策下的南非，及奉行種性制度的印度，當然也包括戒嚴時期的台灣對原住民與本土文化的歧視。然而這部電影在美國得到廣泛共鳴，不只是它呈現了上世紀60年代的荒謬歷史， 讓許多經歷平權運動者感同身受，還因為電影傳達了許多與現實政治有關的弦外之音。黑人音樂家（雇主）位居高位，但其實處處要白人（司機）協助才能順利完成巡演。這樣的權力關係，不免讓人想起歐巴馬時代的美國政府：歐巴馬就像那位黑人音樂家，一方面要很努力去證明他作為黑人的能力，另一方面也要刻意淡化他的黑人色彩，讓人感到他是屬於傳統菁英的一分子。但這些努力對那些種族歧視根深柢固的白人來說，根本不管用，黑人再怎麼用文化或文明來包裝，白人還是瞧不起他們，否則標舉大白人主義的川普，就不會在歐巴馬之後當上總統了。全球化浪潮讓「普世價值」一度成為顯學，然而近年各國排山倒海的民粹主義，卻讓我們驚覺到：原來所謂的「普世價值」包括民主、自由、人權等等都是有前提的，那就是我群中心與固有利益的維護。英國脫歐與川普崛起，以及歐盟國家對難民的排斥，都是顯而易見的例子。而在台灣，九合一選舉掀起的「韓流現象」，不也是對綠營長期壟斷民主化與本土化的一種反彈。台灣經歷3次政黨輪替，看似民主已深入人心，本土化成了必然趨勢。但民進黨完全執政後，過度以本土為利器，把民主當手段，形成另一種我群中心的霸權主義。殊不知白色恐怖固然需要平反，但不是每個人在戒嚴時都有受害經歷，你的正義未必是我的正義；本土化或許是潮流，但愛台灣並非只有台獨一途。尤其是那些受年改影響而利益受損的人，他們原是社會上層結構的堅實組成部分，對民主化與本土化的價值即便疏離也未必排斥，但當綠色執政走到剝奪他們原有權益之後，一切基於「政治正確」所掩飾的真實感受，到最後都變成「討厭民進黨」的洶湧波濤。川普曾說「真正的力量來自恐懼」，他就以這樣的訴求，透過築牆與貿易戰來打動失業右派白人。同樣地，「韓流現象」的背後其實是對綠色鴨霸的恐懼，而恐懼，無論是基於國族信仰還是切身利益喪失的恐懼，往往比任何事物還有用。 ,中國時報
