年,月,日,標題,內容,報社
2021,4,27,《游牧人生》拿下奧斯卡最佳影片、女主角等3大獎 首位亞裔女性 趙婷奪最佳導演,第93屆奧斯卡獎26日揭曉，首度選在洛杉磯地標聯合車站舉辦，今年典禮受疫情影響延後2個月，在史上最長獎季的終幕締造多項影史紀錄，大陸出生的趙婷順利以《游牧人生》奪下最佳導演獎，是繼2010年凱薩琳畢格羅（Kathryn Bigelow）以《危機倒數》奪獎後，影史第2位女導演、更是首位亞裔女導演奪得奧斯卡最佳導演獎，《游牧人生》還榮獲最佳影片與女主角共3獎，是本屆最大贏家。中文分享三字經 籲秉持善念大陸名演員宋丹丹之女趙婷，是繼李安後第2位榮獲奧斯卡導演獎的華裔導演，發表感言時她表示小時候常與父親輪流背誦詩詞，以中文分享《三字經》中的「人之初，性本善」是影響她最深遠的一句話，藉此鼓勵在當下亂世中秉持善念的重要，「這個獎獻給有信念與勇氣秉持善念、並且不論多困難都對彼此維持善意的人們，你們激勵我持續向前」。《游牧人生》改編自同名報導文學，描繪一群經濟弱勢在美國中西部以車為家、互相扶持，沒有刻意的政治批判，採用大量真實「游牧人」堆疊出平淡卻深刻的多面向人物側寫，女主角法蘭西絲麥朵曼（Frances McDormand）飾演為存留亡夫回憶而拒絕安定的寡婦，成功奪下人生第3座奧斯卡影后獎座，直逼凱瑟琳赫本（Katharine Hepburn）的4屆影后紀錄。安東尼霍普金斯 83歲再封帝本屆最大驚喜，是83歲的安東尼霍普金斯（Anthony Hopkins）擊敗盡收各大工會獎的已故演員「黑豹」查德威克鮑斯曼（ChadwickBoseman），以《父親》中失智角色成為史上最年長的奧斯卡得獎人。他在該片角色身心都徹底失控，在晚年交出最震撼人心的生涯傑作，得獎實至名歸，是他繼1992年《沉默的羔羊》後，暌違近30年的第2座奧斯卡影帝獎座。尹汝貞摘女配角 韓星首鍍金韓國資深女演員尹汝貞昨以《夢想之地》中口無遮攔的奶奶角色，毫無懸念奪下最佳女配角獎，成為奧斯卡史上首位奪下演員獎的韓國演員；在《猶大與黑色彌賽亞》飾演黑豹黨民權領袖的丹尼爾卡盧亞（Daniel Kaluuya），也延續聲勢奪下最佳男配角獎。《藍調天后》的妝髮設計米亞尼爾（Mia Neal）和賈米卡威爾森（Jamika Wilson）則是奧斯卡妝髮設計獎的首位黑人得主。 ,中國時報
2021,4,26,【奧斯卡】趙婷今天競搶小金人 大熱門尹汝貞累翻了,導演趙婷（左）被看好憑《游牧人生》一舉拿下最佳影片、導演等大獎。第93屆奧斯卡頒獎典禮今天上午登場，以最多少數族裔獲提名人數、最多女性導演獲得提名，被稱為史上最多元的一屆，以《游牧人生》入圍最佳導演的趙婷，除被看好繼李安之後再為華裔爭光，該片也有望拿下最佳影片。73歲韓星尹汝貞以《夢想之地》入圍奧斯卡最佳女配角，獲外界看好獎座已是囊中物。以電影《夢想之地》入圍本屆最佳女配角的73歲韓星尹汝貞，被外界看好獲獎，南韓OCN電視台24日特別播出《尹Story》特輯，與她合作電影《黃真伊》的宋慧喬透露，入圍當天立刻傳訊息恭喜她，沒想到尹汝貞只回覆：「我已經累翻了。」讓宋慧喬笑說：「這就是老師的風格。」第93屆奧斯卡頒獎典禮星光大道及頒獎典禮，於今天上午6點半起於台視轉播。,自由時報
2021,4,27,趙婷 打破玻璃天花板,「新華人之光」趙婷笑擁最佳影片與最佳導演兩大獎。 趙婷以「游牧人生」成為繼李安之後第二位華人奧斯卡最佳導演，她在得獎感言中提及，童年時會和父親玩背誦古詩，至今仍對「三字經」中的「人之初，性本善」印象深刻，因而每當碰到困難就會再思考這一點，依然相信人心是善良的，她把榮耀獻給以信念、勇氣來堅持善良，讓她得到很大激勵的人們。由於趙婷受訪時曾說過「中國充斥謊言」，這番言論使她被貼上「辱華」，如今她得獎的消息，在大陸成為禁區，像是社群網站如微博、今日頭條的熱搜榜單上，未見趙婷、奧斯卡，或是「游牧人生」等相關字眼，均遭低調處理。趙婷致詞時，強調她童年在中國大陸的教育，以及對她成就的影響，似乎有意緩和昔日言論的爭議。趙婷以電影「游牧人生」奪奧斯卡最佳導演、最佳影片，美國媒體以「打破玻璃天花板」形容她突破性別與族群的藩籬。趙婷獲獎後，媒體問到美國近期的「反對仇恨亞裔」呼聲，她說，電影工作者都須要求自己保有真誠、忠於自我，說的故事必須是自己有所感觸的，對她來說，拍電影是一種與人產生連結的方式，這是她熱愛拍電影的原因，讓我們站在一起，停止仇恨任何人。趙婷是李安的紐約大學學妹，新作是改編漫威漫畫的「永恆族」，恰巧李安當年「臥虎藏龍」在金像獎頒獎典禮大風光後，於眾多片約中也是挑了漫威漫畫改編的「綠巨人浩克」，兩人同樣遊走在藝術小品與商業大片之間。李安拍「綠巨人浩克」時，漫威影視宇宙還未成立，漫畫英雄電影尚非主流，趙婷面對已發展完備的漫威影視體系，主角安琪莉娜裘莉、莎瑪海耶克等更是高知名度大牌，且片子在她成為奧斯卡大贏家前早已殺青。她透露，想將片中動作場面拍出類似「神鬼獵人」般身歷其境的感覺，漫威高層都很支持，影迷更期待開創漫威電影新面貌。雖然以拍攝文藝影片揚名、趙婷沒有將自己設限，這點也很接近李安樂於嘗試各種不同片型、絕少自我重複。,聯合報
2021,4,27,當「人之初，性本善」登奧斯卡,二○二一奧斯卡頒獎典禮，榮獲最佳影片、最佳導演殊榮的華人導演趙婷，在得獎感言中，提到童年和父親一起背誦三字經「人之初，性本善」，以「相信我們在任何困境，都能善良對待彼此」作為感謝詞，讓所有吟誦過「人之初，性本善」成長的觀眾，內心同感震動，特別是在新冠肺炎病毒席捲全球超過一年，至今仍波瀾不斷的當下。每一年的奧斯卡頒獎典禮都呈現當代焦點議題，如去年「寄生上流」探討貧富差距，今年以饒富歷史意味的洛杉磯聯合車站作為主舞台，視訊連線入圍者所在的英國國家電影院、巴黎、愛爾蘭等地，濃縮疫情下，人們以網際網路縮短空間距離的現狀。得獎者的感言永遠是頒獎典禮令人津津樂道的重要環節，包括：攝影、剪輯、妝髮的得獎者，除了感謝工作夥伴，都不忘提及家人，甚至祖父母，在不同的年代持續努力、尋找機會，互相扶持，這是電影製作的幕後推手，也是人類生生不息的要素。無論是探討老年失智的「父親」，或是中壯世代面對老病襲來，何處是生命歸屬的「游牧人生」，都是不分地域的共同課題。在台灣，奧斯卡得獎作品一直是愛好影視藝術族群注目焦點，我們不但期許所有的台灣電影工作者，都能繼李安之後，登上奧斯卡頒獎典禮舞台領獎；每一個人都藉此重新咀嚼童年吟詠「人之初，性本善」的心情，再環視今年以來在台灣爆發的各樣新聞，從毛筆習字到手機歲月，人心都能保留最溫暖的地帶；古老智慧有嶄新創意，越洋跨海傳播出去，拋開互相指責，自律互助，讓所有困難的日子，都變成珍貴又值得回味的人生電影。,聯合報
2021,4,28,蘋中信：禁演也是一種謊言（陳芳明）,陳芳明／政治大學台灣文學研究所教授來自北京的好萊塢導演趙婷，以《游牧人生》榮獲今年奧斯卡金像獎，但是這部影片在中國遭到全面封殺，只因為趙婷曾經在網路上批評：「中國是一個遍地謊言的地方。」在中國根本不能說真話，如今北京當權者果然無法忍受她的批評，這部影片便徹底遭到當權者的禁演。無論是習近平也好，或是幫閒的胡錫進也好，都不容趙婷的名字在媒體出現，更不容這部影片放映。當權者恰恰以實際行動，來證明趙婷的所言不虛。遮蔽新聞報導，或禁止影片上映，都證明了趙婷言論之正確。尤其在得獎之後，北京更是變本加厲，全面封鎖有關她的報導，這等於以實際行動驗證了趙婷的談話，封鎖或禁演也是不折不扣的謊言。把眼睛閉起來，世界根本不會消失，只是證明自己看不見而已。在真正現代化的國家裡，所有的言論都會公平呈現，只容許當權者說話，不准老百姓講話，正好證明本身就是一種謊言。但是，習近平或是幫腔者卻還是樂此不疲。北京的查禁政策已經全球化了，稍有一些批評的聲量，無論在中國或在國外，都可以使北京精神崩潰。現在趙婷的影片遭到封鎖，更加坐實她所說的──中國「是一個遍地謊言的地方」。遮蔽或蒙蔽，就是要使真相完全隱藏不見。其實這是一種自我欺騙，一種自我感覺良好。如果中國是真正的強國，應該有勇氣容許各種不同的批評聲音，如此脆弱的強國，本身就是對全世界示弱。強國根本不是權力可以換算，容許人民言論自由才是強國。誠實面對尊重言論自由相對於中國，台灣的面積、人口、資源都不成比例。但是，台灣比中國還要強大。小小的島嶼，不僅可以分享言論自由，也可以容許同志婚姻，甚至防疫工作，也是站在整個東亞最前線。當全世界都淪為疫病重災區，只有台灣挺住了新冠肺炎的侵襲。台灣從來不會扮演甩鍋的角色，而是面對各種挑戰無懼地站起來。誠實面對，成熟應付，讓島上每一位公民共同來承擔。台灣以李安為傲，中國以趙婷為恥。其中最大的分界線，就是誠實面對，並且尊重言論自由。北京以說謊與甩鍋誑騙中國百姓，才導致境內疫病失控，甚至蔓延亞洲、美洲、歐洲，這種疫病全球化，恐怕是21世紀人類的最大禍害。如果最初不說謊，或許可以使病情稍緩，病情擴大以後，卻又肆意指控其他國家。這正是趙婷所說的，「是一個遍地謊言的地方。」北京立即報復的手段，便是禁演趙婷導演的電影。北京可能不曾察覺，禁演也是一種說謊，這樣的行動，反而使趙婷的指控獲得證實。北京不說謊，實在太難了。,蘋果日報
2021,4,27,《游牧人生》趙婷華人女導奪最佳影片　奧斯卡破天荒,亞裔發威中國導演趙婷執導的《游牧人生》（Nomadland）昨在第93屆奧斯卡金像獎勇奪最佳影片、導演，成為影史首位獲奧斯卡的華人女導演，63歲法蘭西絲麥多曼（Frances McDormand）憑該片封后，《游牧》共得3獎，榮登最大贏家；最佳女配角得主是韓國戲精尹汝貞。去年韓片《寄生上流》囊括4座小金人，今年亞裔影人繼續在奧斯卡發威，83歲安東尼霍金斯（Anthony Hopkins）以《父親》睽違29年再登影帝寶座。奧斯卡今年受疫情影響延後2個月，典禮首度兵分兩路，在洛杉磯聯合車站和杜比劇院舉行。《游牧》是趙婷執導的第3部長片，她率領36人團隊，以區區500萬美元（約1億4200萬元台幣）完成這部雋永的公路電影，從去年威尼斯影展一路橫掃金球獎、英國影藝學院獎到昨天的奧斯卡，共獲230座獎項。39歲的趙婷昨綁著兩條辮子、穿愛馬仕（Hermes） 連身裙搭白球鞋出席，領取最佳導演獎時她說：「這座獎要獻給《游牧》劇組和演員，我們一起經歷了一趟瘋狂、一生僅一次的旅程。」她引述《三字經》首句「人之初、性本善」說：「我在中國長大，爸爸常和我背中國詩文，包括《三字經》，第1句就是『人之初，性本善』。我仍相信這句話，我永遠能發現人的美善，這座獎獻給堅持善良的人。」中國全面封殺趙婷出生於北京，15歲赴倫敦讀寄宿學校，高中在洛杉磯求學，紐約大學蒂施藝術學院碩士畢業。她是繼李安之後，第2位拿下最佳導演的華人導演，也是繼《危機倒數》的凱薩琳畢格羅後，第2位獲奧斯卡導演獎的女導，堪稱華人之光。但關於她和《游牧》獲獎的訊息在微博被徹底封鎖，因為上月網友翻出她2013年在紐約受訪說：「我年輕時在中國生活，到處都是謊言，你會覺得自己永遠逃不了。」被貼上「辱華導演」標籤，原定23日在中國上映的《游牧》也被撤檔，並遭中國媒體封殺。韓國後來居上該片在台已上映1個月，全台票房約1240萬元台幣，全球約1億5478萬元台幣，是史上成本最低、也是票房最低的奧斯卡最佳影片。韓國影人近年在國際影壇能見度大增，知名導演奉俊昊執導的《寄生上流》去年在奧斯卡風光席捲最佳影片等4獎，今年又有73歲女星尹汝貞以《夢想之地》勇奪女配角，成為首位在奧斯卡鍍金的韓星。《夢》片上周五在台上映，全台首周票房約160萬元。,蘋果日報
2020,2,16,《寄生上流》幕後推手 將K-pop帶進歐美 CJ副會長李美敬 把韓流推上主流,導演奉俊昊的《寄生上流》在10日揭曉的第92屆奧斯卡頒獎典禮上，史無前例地成為首部贏得最佳影片獎的非英語電影，在致謝詞時，有位矮小韓國婦人正要發言，麥克風卻因轉播超時而縮下舞台，但在湯姆漢克（Tom Hanks）、莎莉賽隆（Charlize Theron）等巨星帶領的全場歡呼下，這位婦人終能以流利英文完成謝詞，但不少觀眾納悶，這個看起來和藹的女人到底是誰？自稱是Miky Lee的婦人看似平凡卻來頭不小，作品產量不多的奉俊昊至今只拍過8部片，她是《殺人回憶》、《非常母親》、《末日列車》以及《寄生上流》的重要投資人，更是韓國電影在國內與國外蓬勃發展的推手，連K-pop的制霸全球都要歸功給她，她是三星集團創辦人李秉（吉吉）的孫女、現任CJ集團副會長李美敬。李秉（吉吉）1987年過世時，他將集團最有前景的三星電子交棒給三子李健熙，與父親不合的長子李孟熙則被分配到CJ集團，CJ的意思是「第一製糖」，是個傳統的食品製造企業，此舉被視為父親甩的最後一個巴掌。李孟熙的長女李美敬雖從小養尊處優，卻有著對藝術、尤其是電影的龐大熱忱，奉俊昊說：「李副會長是電影、電視、音樂的大粉絲，她是真正的影癡，看過無數電影，更將她美好的熱情帶到了商場的世界中。」推動CJ轉型娛樂業李美敬的弟弟李在賢後來接棒成為CJ集團會長，李美敬則是CJ慢慢由食品集團改造成如今韓國最著名的娛樂集團的影武者，起點發生在1995年，那時在李美敬主導的新子公司CJ娛樂的牽線下，CJ集團投資了史蒂芬史匹柏（Steven Spielberg）的夢工廠影業，取得夢工廠電影除日本外的亞洲發行權。但當時韓國並沒有像樣的電影院，李美敬的下一步便是在當地規畫興建豪華的連鎖影城CJ CGV，不僅能播放外國電影，更能投資韓國導演的作品並給他們能發亮的舞台；韓國片當時只占總票房10％，如今卻已占逾50％，而CJ CGV如今仍是韓國最大的連鎖影城。為推銷韓電影奔走李美敬的目標不只是讓韓國電影在國內蓬勃發展，她更想要整個世界都看到韓國電影的魅力。李美敬1980年代在哈佛大學攻讀東亞研究碩士，並在校內擔任韓語講師，但令她傷心的是，當時的學生寧願學習感覺比較酷的日文，或比較有用的中文，她幾乎招不到學生，李美敬說：「讓我決定用一生推廣韓國文化的起點就是那個時刻。」「我以前會帶著DVD去拜訪華納、環球、福斯，跟任何願意給我機會的人推銷韓國電影、韓國電影、韓國電影。」李美敬為了鍾愛的韓國電影在好萊塢四處奔走，但在1990年前，韓國電影在世界影壇幾乎沒有任何存在感，「沒有人認為韓國片夠好，根本乏人問津。」轉捩點發生在2004年，當年由CJ娛樂投資、朴贊郁執導的《原罪犯》為韓國拿下第一座坎城影展評審團大獎，李美敬說：「從那時候開始，我就再也不需要為韓國電影多做辯護。」辦音樂會推動K-popK-pop在1990末期開始席捲亞洲，但一直要到2010年後才征服了歐美，李美敬則是其中的重要要關鍵。她在參加一場格鬥比賽的會議時忽然靈光一閃，「哇！K-pop也可以這樣做！」她認為單一的K-pop組合很難單槍匹馬打進語言不通的市場，但若像格鬥技比賽一樣，結合不同團體輪番上陣，就會成為一個像嘉年華般的盛會。李美敬的想法花了10年才終於完成，CJ集團子公司CJ E ＆ M於2012年在美國加州舉辦了首屆的KCON韓國音樂祭，邀請了當年最紅的4Minute、B.A.P、Exo-M、Nu’est、VIXX、G.NA等團體正式進攻美洲市場。如今KCON繼續每年舉辦，且一年巡迴全球多國，足跡遍及日本、阿拉伯聯合大公國、法國、澳洲、墨西哥等，至今參加過的歌迷已逾百萬。KCON不僅是歐美粉絲近距離接觸K-pop的盛典，也是他們認識韓流團體的管道，連當下最紅韓團BTS的成功都與李美敬脫不了關係，2014年BTS在美國的首場演唱會，是場觀眾僅有200名的免費演出，但他們在美國的第二場演出就是同年的KCON，不僅是BTS在美國的首場售票演出，更是在觀眾逾4萬人的舞台上，展開了BTS征服全球的奇妙旅程。打造電影創作環境如今李美敬將韓國電影推上了全球的殿堂，但她的腳步並沒有停歇，CJ目前有17部英語電影正在製作中，但繼續奪獎並非她的目標，「這種事要靠創作力，不是刻意做得出來的。」像是種傳說中的生物般，李美敬是個懂電影人的企業家：「我們一直在鼓勵韓國的創作者、電影人、導演，我們唯一要做的就是多拍片、多花錢。」CJ CGV影城會特別播映韓國的藝術電影，讓韓國的新導演有出發的起點，李美敬認為當務之急是提供韓國影人更好的創作環境，而不是盲目地在追逐第二部《寄生上流》，「我們必須呵護並鼓勵他們往前進，這是我們的工作，現在有很多人都被啟發。」奉俊昊在奧斯卡連拿4獎後，被韓國稱為「韓國的李安」，或許，台灣急需要的是一位「台灣的李美敬」。 ,中國時報
2020,2,11,底層大翻身 寄生上流好威 一舉奪4大獎 橫掃奧斯卡,第92屆奧斯卡金像獎頒獎典禮於台灣時間10日上午9點在洛杉磯好萊塢杜比劇院登場，韓國電影《寄生上流》勢如破竹，奪最佳影片、導演、國際電影與原創劇本4大獎，成本屆最大贏家，導演奉俊昊開心說：「我要一路喝到明天，要喝威士忌！」奉俊昊看小金人傻笑《寄生上流》昨贏得的每個獎都改寫奧斯卡紀錄。在最佳原創劇本獎上，《寄生上流》是首部拿獎的亞洲電影，過去只有義大利、法國、西班牙和瑞士等外語片成功奪獎，也是韓國首座奧斯卡獎，讓奉俊昊在台上就忍不住看著小金人傻笑，喜悅與愛憐溢於言表。在首度改名為最佳國際電影獎的外語片方面，《寄生上流》是韓國首部衝奧片，也是首部雙奪國際電影、最佳電影作品，說它稱霸去年全球並不為過。一口氣追平李安紀錄在最佳影片獎上，《寄生上流》是影史首部非英語的最佳影片，在此之前僅有《臥虎藏龍》、《羅馬》等10部作品入圍，但都鎩羽而歸。最佳導演方面，奉俊昊擊敗強敵馬汀史柯西斯（Martin Scorsese）、山姆曼德斯（Sam Mendes）、昆汀塔倫提諾（Quentin Tarantino），成繼李安後影史第2位憑國際電影獲導演獎的導演。奉俊昊上台領導演獎時先說：「在拿到國際電影後我以為今天可以休息，沒想到還能繼續上台。」也對競爭對手致意，稱史柯西斯是偶像與啟蒙大師，亦感謝昆汀在他不出名時的知遇之恩。《寄生上流》昨追平李安《臥虎藏龍》的1夜4獎，也讓他一晚打破李安維持多年、3座個人奧斯卡獎的亞洲導演得獎紀錄，韓民眾將奉俊昊封為「韓國李安」。《寄生上流》用黑色幽默包裝貧富差距，全球吸金超過50億台幣，台灣票房達1.5億台幣，而奉俊昊重新打造的黑白版《寄生上流》，台灣片商正引進中。本屆其他重要得獎者還有影帝是《小丑》瓦昆菲尼克斯（JoaquinPhoenix），影后為《茱蒂》芮妮齊薇格（Renee Zellweger），男配角《從前，有個好萊塢》布萊德彼特（Brad Pitt），及女配角《婚姻故事》蘿拉鄧恩（Laura Dern）。飲酒過量 有礙健康。 ,中國時報
2020,2,11,南韓電影大爆發，台灣呢,南韓電影《寄生上流》在10日第92屆奧斯卡頒獎典禮中創下影史紀錄，一舉拿下「最佳影片」、「最佳導演」、「最佳國際電影」、「最佳原創劇本」等4項大獎。南韓名導奉俊昊是繼李安導演之後，第2位榮膺奧斯卡最佳導演的亞洲導演，《寄生上流》更是第1部獲得最佳影片的外語電影，打破奧斯卡影史紀錄。這是何其榮耀的事！如此全面性的肯定，讓南韓電影足以站穩國際電影圈，這也跟南韓電影產業一直以來遵循的國家計畫非常吻合，不以國內市場為目的，而是放眼國際為最終目標。南韓自1998年開始啟動文化產業「振興」計畫，對電影產業進行結構性的根本改造，政府投入上百億基金來「經營」電影產業，跟台灣過去以「輔導」概念為計畫主軸，就是兩者在起步時的最大差別。南韓電影的可圈可點，從台灣民眾對南韓電影的接受度即可略知一二。《屍速列車》、《與神同行》、《熔爐》等片都是近幾年在台灣票房表現相當優秀的南韓電影，相信許多曾經觀影的民眾對電影內容都還有記憶點，這也是南韓電影的特色。看到別人好，忍不住就會想想自己。這幾年，我們的國片還好嗎？檢視台灣近5年的電影產業計畫，除了原本的旗艦計畫之外，加上前瞻計畫的加持、文策院的正式成立，各項硬體技術建置與內容及人才培育計畫等，政府企圖重新打底，從根本開始打造台灣電影產業工業化製造鏈的意圖明顯，終於捨棄「輔導」的配角心態，作為「振興」結構的領頭羊，而預算面也趕上南韓百億基金的水準，就算是落後南韓電影工業化已近20年，但至少穩固基石，就能期盼再起。台灣的電影能量與創作人才從未消失，近兩年的電影作品從小清新走向類型片就可看到進步跡象。只是，當我們執著於電影產業的打底工程，卻沒發現台灣國片已經好幾年缺乏大型片來帶動產業能量。若從文化部的統計數據來看更明顯，2019年台灣國片的數量雖然略為增加，經審議分級的影片至11月共有114部，但實際上映的部數卻不到2成，票房率更是慘跌，是相當嚴重的警訊。這代表市場雖有一定產量的作品，但缺乏普遍觀影氣氛，「看國片」無法成為一種風潮，對電影投資者跟從業人員都是打擊。台灣電影產業能量仍在，如何集中發揮最大效益，創造爆發性能量，帶動產業熱潮與觀影氣氛，是文化部在市場行銷面應多所著力之處。《寄生上流》讓南韓電影被世界看見，得獎導演奉俊昊在得獎感言說「這是南韓的第一座奧斯卡獎」，相較於南韓電影大放異采之際，已經數年不見國際大片的台灣電影市場，不禁讓人略感唏噓。（作者為國家政策研究基金會副研究員）。 ,中國時報
2020,2,11,寄生上流 奪奧斯卡4大獎,第九十二屆奧斯卡金像獎迎來改變歷史的時刻！韓國電影「寄生上流」成為首部非英語發音的最佳影片，奉俊昊成為繼李安後第二位獲最佳導演的亞洲名導，片子也拿下最佳國際電影、原著劇本，成為最大贏家。劇組致詞時一度因時間超過官方預定的四十五秒差點被請下來，台下眾星熱情聲援，讓他們暢所欲言，也反映該片在好萊塢影界的高人氣。今年的奧斯卡賽果，演員方面毫無意外，由外界最看好的「小丑」瓦昆菲尼克斯、「茱蒂」芮妮齊薇格、「從前，有個好萊塢」布萊德彼特與「婚姻故事」蘿拉鄧分別獲得帝后與男女配角獎，各方焦點反而在看似態勢明朗、實則尚有變數的最佳影片之爭上。「1917」在榮獲美國製片、導演等工會獎與英國奧斯卡最佳影片後，王位似乎愈坐愈穩，卻有歐美獎項分析認為「寄生上流」還有翻盤可能，剛巧各大媒體請部分投票會員不具名先亮票，「寄生上流」獲得的支持多過「1917」，似已透露些許玄機；果然在典禮後半段，「寄生上流」與奉俊昊一再上台，製造最大驚喜。奧斯卡過往被視為「電影人的最高榮譽」，實則封閉、保守，不屬於「好萊塢自家人」，絕難獲得肯定，也因此曾有好幾部非英語發音電影不管評價多高，大都在最佳外語片（今年起改稱最佳國際電影）或是最佳導演止步。近年來美國影藝學院廣邀各國影人加入，試圖改善，前兩年得獎名單的變化尚有限，卻都在為革新積蓄能量，終於今年藉著「寄生上流」水到渠成，寫下新紀錄，雖然看似傳統好萊塢的失利，卻讓整個獎項的格局真正提升到國際級競賽。據美國媒體分析，「寄生上流」格外受歐美年輕觀眾喜愛，大家都對貧富差距擴大下的病態現況感同身受，因此突破需要讀字幕的限制，成為口碑奇佳的話題熱片，讓好萊塢影界無法忽視。此外，奧斯卡最佳影片採「喜好順序」投票，造成大多數人不討厭、排在較前順序的電影，遠比被少數人選為第一喜愛卻有人極厭惡的影片更占優勢，「寄生上流」就具備了這種「大多數人都不討厭」的利多，天時、地利及人和，終令向來較非裔和白人更受到奧斯卡忽略的亞洲（裔）影人，扳回一城。大手筆網羅名導拍片的Netflix仍未征服奧斯卡，眾家大片只抱回兩座獎，馬丁史柯西斯「愛爾蘭人」甚至成唯一全部落空的最佳影片入圍者，影音平台自製電影想要被與傳統戲院放映影片一視同仁，恐還有段路要走。,聯合報
