年,月,日,標題,內容,報社
2021,5,2,艾倫金短褲套裝超萌 史坦費爾德引領時尚黑旋風,重要典禮的穿著，總是會帶領未來時尚圈的走向，以奧斯卡頒獎為例，雖不少男星搶眼的粉色、金色造型成為焦點，但仍有不少造型以黑色作為基底，卻藉由細節變化，展現出不一樣的氛圍。《猶大與黑色彌賽亞》入圍男配角獎拉基斯史坦費爾德，雖然奪獎輸給同劇的丹尼爾卡盧亞，但戲中有型有款的史坦費爾德，戲外一襲黑色Saint Laurent西裝亮相，白色襯衫及腰間的皮帶、脖子上的金色項鍊，皆為整套造型增添層次，展現出酷帥的氣質，成為此次紅毯最帥的人選之一；丹尼爾卡盧亞則身穿Bottega Veneta圓潤的深藍色西裝套裝，把脖子上的鑽石項鍊烘托得更加亮眼。以《靜寂的鼓手》入圍最佳男主角的里茲阿邁德，雖未得獎，但也是近期精品力邀合作的人氣明星，他在奧斯卡選擇穿著PRADA黑色單排扣馬海毛燕尾服，內搭黑色羊毛高領毛衣，搭配黑色德比鞋，一身黑卻不失休閒氣息。另外，不得不提到本次紅毯最萌造型，在《夢想之地》中飾演小兒子的8歲童星艾倫金，他以Thom Browne黑色短褲套裝出席，在紅毯上面對眾多攝影機不但不畏懼，更擺出各式帥氣姿勢搶奪鎂光燈，讓人不經發出姨母笑，成為此次紅毯最有魅力的造型之一。 ,中國時報
2021,4,27,群星報復性用色 霓虹金銀席捲奧斯卡 辛蒂亞炫腹制霸紅毯,新冠疫情後，首度實體頒獎的奧斯卡，讓明星不分男女，可說都穿著報復性用色，霓虹或金銀色系奔放席捲紅毯，是近年典禮色調最強烈的一次。兩位女主角入圍者撞到金色也撞秀腰，凱莉穆里根Valentino高級訂製金色中空上衣配同色系蓬裙，安德拉戴一襲金色VeraWang雙截斜禮服搭Tiffany鉑金與18K金鑲鑽手環與Tiffany Schlumberger系列珠寶，兩人都像志在奪下小金人，雖最後同樣角逐失利，但在全球觀眾腦海中都留下深刻印象。不只女星，《邁阿密的一夜》小萊斯利奧多姆大膽敢穿，近期成時尚新寵，也以Brioni金色套裝配OMEGA頂級腕表，霸氣全場，被許多網友、外媒評論為紅毯之王。同是金屬色調，「小丑女」瑪格羅比以《花漾女子》的監製身分現身，以一襲銀色亮片鑲飾的香奈兒小禮服出席活動，薄紗上鑲飾的亮片讓她成為鎂光燈焦點，搭配宛如鄰家少女般的齊瀏海，性感迷人。男星螢光粉 魅力獨特霓虹般色調方面首推辛蒂亞，她一身鮮黃色Valentino高級訂製服，與她性感健康膚色十分相襯，加上寶格麗頂級珠寶的加持，輕鬆從紅毯中突圍；男星科爾曼多明戈以一席螢光粉Versace三件式西裝套裝，難以駕馭的粉色在他身上卻不顯突兀，展現出其獨特的時尚魅力；亞曼達塞佛瑞是紅毯性感指數第一名，她穿著Giorgio Armani Prive紅色深V禮服出場，深V胸前挖空性感指數爆表，加上紗質曳地蓬裙與鮮紅搶眼色系，與亞曼達金色微捲復古髮型十分登對。瑪麗亞巴卡洛娃（Maria Bakalova）雖角逐最佳女配角失利，但在紅毯戰上成功扳回一城，她身穿深Ｖ低胸晚禮服配全球頂級寶石傳奇英國Moussaieff慕莎伊芙珠寶品牌亮相，該牌近日也計畫在台灣開設全球第三大專賣店，是珠寶界盛事之一。主演《藍調天后》的薇拉戴維絲，則是穿著Alexander McQueen白色鏤空設計晚禮服，藝術感設計展現不輸其人的紅毯氣勢。 ,中國時報
2021,4,27,《奧斯卡紅毯》亞曼達深V露半球尬瑪麗亞  「 大金人」凱莉炫腹拚辛蒂亞,亞曼達塞佛瑞以一襲大紅色深V禮服性感霸氣登場。瑪麗亞巴卡洛娃以一身純白禮服現身，胸前深V一路開到腹部，搭配水鑽項鍊耳環，襯托出典雅溫柔的小女人氣息。「蜘蛛女」辛蒂亞展現符合她24歲的青春洋溢，穿上亮黃色禮服，以中空設計炫腹，搭配一頭浪漫長鬈髮，活脫脫像個甜美性感的小美人魚。,自由時報
2021,4,29,梅伊馬斯克的風格人生,在化妝品廣告裡，梅伊馬斯克招牌的銀色短髮配上爽朗笑容，絲毫不在意大笑而產生的皺紋。圖╱摘自MayeMusk IG 在化妝品廣告裡，梅伊馬斯克招牌的銀色短髮配上爽朗笑容，絲毫不在意大笑而產生的皺紋。圖╱摘自MayeMusk IG 梅伊馬斯克（Maye Musk）絕對是當代女性愈活愈精彩的最佳實證。1948年出生於加拿大，1950年隨父母移民至南非，1970年與前夫Errol Musk結婚，他們的兒子就是現今全球首富，Tesla的執行長Elon Musk伊隆馬斯克。在許多媒體的報導裡，梅伊馬斯克經歷過家暴與一貧如洗的生活，是什麼讓她重新站起來，在72歲的今天，依舊保持一個持續冒險的，年輕的心？「我不怕變老的原因之一，是因為在我的人生裡，下一個10年一直比上一個10年更好」，在2019年最後一天出版的個人回憶錄：「女人的計畫 A woman makes a plan：Advice for a Lifetime of Adventure，Beauty，and Success」裡，梅伊馬斯克分享了自己對於冒險，美麗和成功的看法。其實這三者之間，是相輔相成的；沒有冒險就不會有成功，沒有成功也很難有美麗。1979年離婚之後，梅伊馬斯克在兼職模特兒工作，考營養師學位，與單親媽媽這三個角色中不斷轉換，這也許是她人生中最辛苦的一段日子。梅伊馬斯克曾經在1969年參選過南非小姐的比賽，在往後的歲月裡，模特兒一直是她兼職的工作。「誰會想到成了銀髮族之後會一炮而紅呢？我15歲時，他們告訴我模特兒生涯到18歲就會結束，如今71歲了，卻是我這輩子最搶手的時候。」梅伊馬斯克在回憶錄裡這麼說。梅伊馬斯克很早就接觸了模特兒這個行業，但她的成名作，卻都是在50歲以後發生的事。在美國維珍航空的廣告裡，梅伊馬斯克穿著一身白色西裝，啜飲著香檳；在化妝品Cover Girl的廣告裡，她換上了黑色露肩禮服，招牌的銀色短髮配上爽朗的笑容，絲毫不在意大笑而產生的皺紋。梅伊馬斯克也玩Instagram，她的帳號mayemusk目前有超過40萬的追蹤者，在這裡有她的工作紀錄，也有她的日常生活照。2016年在紐約的Met Gala晚宴，她穿上韓國設計師Yuna Yang為她量身訂製的藍色褲裝，背後還加上一條同色系的藍色蕾絲裙擺。2017年的Vanity Fair年度奧斯卡派對上，梅伊馬斯克與兒子伊隆馬斯克共同出席，這次她穿的是一件皮革編織的晚禮服，配上同色系皮草外套，充分展現了屬於69歲的雍容華貴。「如果你能從我身上學到任何東西，我希望是這件事：無懼變老，並和其他不怕變老的朋友來往。」這也許是梅伊馬斯克的回憶錄裡，最令人受用的一句話。時尚僅是個人風格的一個部分；一頭銀髮，一個笑容，一顆勇敢嘗試新鮮事物的心，這些才是梅伊馬斯克最迷人的風格。,聯合報
2021,4,27,性感蠻腰 誘惑深V 搶當小金人女神,寶格麗品牌代言人千黛亞配戴BVLGARI頂級黃鑽與鑽石項鍊出席紅毯。圖╱寶格麗提供 瑞絲薇絲朋身穿Dior 2021秋冬紅色垂墜扭結設計禮服，像是希臘女神的現代化身。(美聯社) 瑪格羅比以香奈兒2019秋冬高級訂製服現身，搭配香奈兒手拿包與高級珠寶。(美聯社) 瑞絲薇絲朋身穿Dior 2021秋冬紅色垂墜扭結設計禮服，像是希臘女神的現代化身。(美聯社) 做為全球矚目的電影圈年度盛事，奧斯卡與會明星的紅毯造型年年都是焦點之一，今年紅毯上的衣著也反映出疫情現況，不見濃厚奢華貴氣，反而是以簡單的重點細節穿出隆重感，女星偏愛露腰、深V剪裁的禮服，色調以金屬色系和大紅色為主。瑪格羅比以香奈兒2019秋冬高級訂製服現身，細肩禮服上滿滿的銀色亮片花朵，搭配低馬尾造型看來慵懶優雅。凱莉墨里根的Valentino 2021春夏高級訂製金色亮片露腰禮服很有「小金人獎座」的既視感，由無數金色亮片緊密排列組成的細節也非常精緻；同樣選穿Valentino訂製露腰裝的千黛亞，則以亮黃色飄逸禮服帶來一絲度假風情。安德拉戴的Vera Wang金色禮服，斜角度中空設計搭配若隱若現的裙襬，格外性感火辣，另外像是凡妮莎寇比，也選擇Gucci的簡約風露腰禮服典雅登場。亞曼達塞佛瑞穿上大紅色烏干紗Armani 2021春夏高級訂製禮服出席，這件衣服當初在秀場上展演的是帶點神祕感的寶藍色，換成大紅色反而注滿熱情，也增添艷麗明媚的女人味。瑞絲薇絲朋的Dior 2021秋冬紅色垂墜扭結設計禮服，像是希臘女神的現代化身。韓國女星韓藝璃穿上Louis Vuitton的紅色排釦高領削肩晚宴洋裝展現超強氣場，薇拉戴維絲和蕾吉娜金恩，則是紛紛以Alexander McQueen和Louis Vuitton的雕花、訂製公爵夫人緞質羽扇蓬袖禮服穿出繁複裝飾魅力。穿Louis Vuitton訂製白色絹網緞面洋裝的瑪麗亞巴卡洛娃，很像一尊夢幻甜美的娃娃。今年備受關注的韓國女星尹汝貞，以Marmar Halim鴨藍色訂製款禮服現身，兩個口袋的設計更顯年輕有型。葛倫克蘿絲的Armani寶藍色特別訂製款長袖禮服，則是運用細碎亮片裝點低調華麗並搭上絨布褲裝和手套，俐落中不失貴氣優雅。黃鑽更襯膚色 白鑽優雅百搭黃鑽是今年奧斯卡紅毯珠寶最令人意外的主角。年輕一代的女星如紅毯資優生亞曼達塞佛瑞、「蜘蛛女」千黛亞，以及因飾演傳奇爵士女星比莉哈利戴而入圍最佳女主角的安德拉戴，都巧妙選擇透過黃鑽配襯自己獨特的膚色。其中，身為寶格麗代言人的千黛亞，更是搶先戴上品牌即將於今年夏季才要發表的年度頂級珠寶Magnifica系列珠寶，項鍊主石為一枚艷彩等級的6克拉黃鑽，配上鑲嵌總重約9.4克拉的2顆梨形切割濃彩黃鑽耳環，以及21.14克拉枕形切割黃鑽戒指，氣場驚人。今年有許多演技派的資深女星入圍，多選擇配戴經典的白鑽珠寶，詮釋不過分搶戲又優雅的搭配。像是以電影Minari「夢想之地」奪得最佳女配角的「韓國梅莉史翠普」尹汝貞，以蕭邦藍寶石鑽石戒指、鑽石手鍊與耳環，搭配杜拜設計師Marmar Halim的深藍色高級訂製服；同樣入圍女配角的資深影后奧莉薇亞柯爾曼，也是選擇配戴蕭邦的白鑽鑽石襯托一襲簡約的鮮紅禮服。不過白鑽的優雅體面與高搭配性，也是許多喜愛極簡主義風格女星的最愛，例如亞莉安娜黛博塞就以簡約的海瑞溫斯頓白鑽來彰顯亮橘色禮服的俐落線條；凡妮莎寇比更是直接將一條垂墜7.04克拉橢圓形主鑽的項鍊反戴；瑪格羅比則以垂墜珍珠流蘇的緞帶蝴蝶結耳環，完成金屬光澤刺繡禮服的整體造型。,聯合報
2021,4,27,櫻桃色戰袍托雪乳　亞曼達紅毯完勝,豔色璀璨疫情中的星光大道並沒有降低爭奇鬥豔的精采度，《媽媽咪呀！》亞曼達席菲德昨擔任頒獎嘉賓，挑染短髮配紫色Dolce & Gabbana禮服毀譽參半，有人認為突兀，但也有人大讚她前衛。路透,蘋果日報
2020,2,12,CHANEL搶獎失利 莎莉賽隆扮小金人吸睛,奧斯卡頒獎後，由雜誌《浮華世界》舉辦派對每年都星光閃閃，華麗金色系成與會女星的最愛，搶女主角獎失利的莎莉賽隆、女配角獎無緣的佛蘿倫絲普伊分換戰袍，各選穿Dior金色流蘇禮服與Louis Vuitton金色低胸拼接禮服上陣，就算沒搶到奧斯卡獎，自己打扮成美美小金人，同樣搶下不少焦點；由於連同典禮紅毯，連穿2套同品牌服裝，趁機釋出滿滿的誠意，續約或搶下品牌代言更有機會。凱特哈德森穿Vivienne Westwood緹花訂製禮服、潔西卡艾芭的Versace高訂低胸禮服、《藍色比爾街的沉默》琪琪蘭恩的Michael Kors Collection亮片禮服，也同樣以金色閃爆全場，唯一可抗衡的就是黑色系，尤其超模蘿西杭亭頓懷特莉穿Saint Laurent蝴蝶結禮服，典雅又有氣質，成為派對的亮點。 ,中國時報
2020,2,11,奧斯卡閃亮亮 金蔥、銀網、海波浪 黑寡婦動感女神,第92屆奧斯卡金像獎紅毯除了優雅的黑白風，也出現閃亮動感，一片金蔥、銀網、海波浪。史嘉蕾喬韓森的Oscar de la Renta銀色禮服上身是用銀絲線與網狀馬甲讓胸型若隱若現，下身的香檳金色緞面曳地長裙襬，走起路來婀娜多姿，維持她性感女神的地位。瑟夏羅南 古靈精怪很俏皮布麗拉森身穿CELINE BY HEDI SLIMANE玫瑰金色亮片與珠綴高級訂製斗蓬禮服，以12萬片亮片、11萬顆玻璃珠飾、13000顆施華洛世奇水鑽與6500顆粉色寶石縫紉而成，耗時1200個小時手工鉤針打造，前後都露，性感不失氣勢。辛西婭艾利沃選擇了結構化的白色Versace禮服，斜肩胸罩與網狀馬甲的結合，蓬裙正面開高衩，彰顯她緊實的古銅色美腿，她還以前衛潮風佩戴伯爵Piaget珠寶，塗滿彩繪指甲的玉手戴滿戒指，十分張揚，但也更能凸顯她的個人風格。瑟夏羅南身上的Gucci禮服，沿著深V往下看接著的是波浪狀的高腰荷葉邊，黑色與羅蘭紫的搭配挺符合她在《她們》中古靈精怪又獨立的形象。佛蘿倫絲普伊身著Louis Vuitton湖水綠訂製絲緞洋裝，層層波浪蛋糕裙俏皮活潑，佩戴同品牌的Goutte de Song系列項鍊與耳環，散發青春俏麗。以青少年喜劇《A+瞎妹》走紅的比妮費爾德斯坦則穿Miu Miu繞頸刺繡洋裝，精緻的黑色玫瑰花圖騰在白色裙襬上更顯典雅。比利波特 金箔羽毛穿上身只有自己能超越自己的比利波特，今年身著Giles Deacon訂製的禮服，鳳凰概念的設計由24克拉的金箔羽毛上衣結合橙色抽象印花褲裙，波特的設計師Sam Ratellec還將Jimmy Choo的金色靴子增加金色防水台。波特說：「奧斯卡是好萊塢一年中最大的盛宴，作為黑人和LGBTQ的成員，我以身著華麗禮服站在紅毯上而感到自豪，希望我的樣子能鼓勵人們穿自己想穿的衣服，成為自己想成為的人。」暱稱「甜茶」的堤摩西柴勒梅德向來不怕打破穿衣規則，奧斯卡更是一個讓他實驗的好地方。他挑戰如何把Prada海軍藍緞面飛行員夾克與成套褲子穿得很正式，利用白色襯衫、領帶和黑色皮靴，最後在胸前別上Cartier胸針，完成他的奧斯卡造型，也讓他的衣Q達到新高度。 ,中國時報
2020,2,11,瑪格羅比袖出氣勢 奧斯卡紅毯吹黑白風 愈資深氣場愈強,今年奧斯卡紅毯以黑白簡約色系最受歡迎，其中又以芮妮齊薇格、莎莉賽隆、瑪格羅比和潘妮洛普克魯茲最受好評，有趣的是，今年奧斯卡紅毯明顯看出世代的落差，愈是資深的女星，愈能以超強氣場和質感詮釋黑白簡約的氣勢，證明「薑是老的辣」。奧斯卡影后呼聲高的芮妮齊薇格有備而來，日前她穿亞曼尼粉藍色禮服拿下金球獎影后，如今她又再度選穿亞曼尼白色高訂禮服走紅毯，斜肩設計的禮服上綴滿亮片，十分雅致。有趣的是，白色禮服似乎是芮妮齊薇格的幸運色，14年前以冷山拿下奧斯卡最佳女配角，也是穿一身雪白色禮服。★莎莉賽隆 高衩秀美腿提起黑白色系，香奈兒自然是箇中高手，「小潘潘」潘妮洛普克魯茲穿香奈兒黑色系裙襬前短後長禮服，胸前的白色山茶花和腰際的珍珠鍊成為視覺的焦點，顯得俏皮且青青洋溢。瑪格羅比也選穿黑色香奈兒禮服，雙臂的蝴蝶結裝飾袖更添氣勢，可謂別出心裁。「紅毯長勝軍」莎莉賽隆則以黑色DIOR曳地禮服搭Tiffany鑽石項鍊和Chopard耳環，刻意墜落的肩帶和前開高衩秀出美腿的設計更添性感。「開雲集團」老闆娘、演員莎瑪海耶克穿自家集團的GUCCI白色禮服搭Boucheron珠寶，雖是清新的白色時尚，但可一點也不簡約，她發揮創意將Boucheron的經典月桂葉問號項鍊佩戴在頭上，別具巧思，成套的Boucheron問號項鍊和手鐲珠寶鑲嵌鑽石和珍珠，奢華破表。★娜塔莉波曼 斗篷繡8女導演名除了簡約黑白，娜塔莉波曼一襲DIOR高訂黑金曳地禮服也相當吸睛，手工刺繡的金色鏤空設計再搭配卡地亞K金鑽石耳環和黃鑽戒指，更添奢華，肩披黑色曳地斗篷氣勢十足，細看在斗篷上還繡有8個名字，原來是8位未被提名的女性導演姓氏，她說：「僅以此對提名向隅的女性導演致敬。」（文轉C2版）。 ,中國時報
2020,2,15,【時尚名人】娜塔莉煙燻眼妝 紅毯電眼眸力,"瑪格羅比的紅毯妝不會太過華麗又有亮點。紅毯星光妝扮向來是焦點，在第92屆奧斯卡金像獎頒獎典禮上，女星娜塔莉波曼以一襲Dior高訂禮服搭配深邃煙燻眼與一抹玫瑰奶茶色唇彩，展現出眾氣質。香奈兒珍珠光感亮妍露30ml／2,000元，預計2／28上市。彩妝師Lisa Storey公開了她的上妝技巧，煙燻眼妝是重點，一眼就能吸引目光，先以「迪奧搶眼玩色眼線液#096」勾勒出貓眼輪廓，再刷上兩層「迪奧一啾3D瞬翹睫毛膏#090」；玫瑰奶茶色澤的唇妝則是使用「迪奧超惹火絲絨唇露#446」（限量色）帶來溫柔感，並疊搽台灣預計3、4月上市的「迪奧癮誘蜜潤光唇彩#629」，完美襯托眼妝。露華濃經典璀璨柔霧唇膏#007濃情烈焰，240元。「神力女超人」蓋兒加朵以頒獎引言人的身分出席奧斯卡典禮，以一襲透視蕾絲禮服優雅現身。蓋兒加朵身為露華濃的代言人，使用了網友口碑推薦的露華濃「超持色迷你精裝8色眼影盤#900 」，以及「煙燻柔膠兩用媚眼筆#201」，唇妝則是台灣預計3月上市的「經典璀璨柔霧唇膏#007濃情烈焰」。蓋兒加朵上以一襲透視蕾絲禮服優雅現身奧斯卡，成為焦點。以《重磅腥聞Bombshell》入圍最佳女配角的瑪格羅比，著香奈兒古董禮服驚豔紅毯，沒有過多裝飾，胸前的珠寶裝及紅唇襯托出她天生的金髮白肌。瑪格羅比的霧面紅唇使用「香奈兒超炫耀的極致絲絨唇膏#112」，白皙透光的肌膚則運用了香奈兒即將上市的美白彩妝「香奈兒珍珠光感亮妍露」及「香奈兒水感亮顏凍」創造光采，雙眼以「香奈兒亮采立體眼彩筆#12」自然加強眼部輪廓。迪奧癮誘蜜潤光唇彩，台灣預計3、4月上市。圖片提供：迪奧、露華濃、香奈兒娜塔莉波曼透過煙燻妝讓雙眼釋放強大氣場。香奈兒超炫耀的極致絲絨唇膏#112，1,280元。香奈兒亮采立體眼彩筆#12，1,270元。露華濃超持色迷你精裝8色眼影盤#900 峇里夕陽，450元。 ",自由時報
