publish_date,title,content,press
2019/03/06,感動！布萊德利庫柏捐錶助視障兒童 拍賣結果出爐,"布萊德利．庫柏捐出IWC大型飛行員全球唯一特別版（型號IW500923）。（IWC提供）〔記者方惠宗／台北報導〕就在十天前、今年的奧斯卡頒獎典禮期間，沙夫豪森IWC萬國錶宣布即將進行一個獨一無二的慈善項目，IWC品牌大使布萊德利．庫柏（Bradlay Cooper）出席奧斯卡頒獎典禮時佩戴的大型飛行員全球唯一特別版（型號IW500923）交由蘇富比進行拍賣。這款獨一無二的時計最終以60,000美金的驚人價格拍出，此次拍賣所得的收益全數撥捐安東尼．聖艾修伯里青少年基金會，以幫助其支持Arrimage協會。錶款背後鐫刻《小王子》經典名言「It is only with the heart that one can see rightly」（只有用心才能看得清楚）。（IWC提供）Arrimage協會由法國失明藝術家、教育工作者兼出版人Claude Garrandes博士創立，主要項目之一是教導視障兒童透過觸覺閱讀畫作。（IWC提供）協會使用首創的《小王子》凸印插圖藝術繪本，書上同時附有法語和英語凸字印刷。（IWC提供）布萊德利‧庫柏與女神卡卡在奧斯卡頒獎典禮上深情對唱，並將當日佩戴的IWC大型飛行員腕錶捐出拍賣。（法新社）Arrimage協會由法國失明藝術家、教育工作者兼出版人Claude Garrandes博士創立，主要項目之一是教導視障兒童透過觸覺閱讀畫作。為了此項目，協會使用首創的《小王子》凸印插圖藝術繪本，書上同時附有法語和英語凸字印刷。這款大型飛行員腕錶的18K 5N金錶背鐫刻了獨特字句，來自安東尼．聖艾修伯里最知名作品《小王子》的經典名言：「It is only with the heart that one can see rightly」（只有用心才能看得清楚），象徵著次拍賣所支持的慈善事業。      不用抽 不用搶 現在用APP看新聞 保證天天中獎    點我下載APP    按我看活動辦法",自由時報
2019/03/06,漫威最強獲爛番茄新鮮認證！史丹李客串超有哏,〔記者許世穎／綜合報導〕漫威電影宇宙最新力作《驚奇隊長》今（6）天正式在台上映，該片在知名影評網站爛番茄的評分一開盤便獲得88%的新鮮度。片中除了飾演「漫威最強」驚奇隊長的奧斯卡影后布麗拉森表現搶眼，不少貓奴也期待看到萌貓「呆頭鵝」的表現。不過漫威迷另一個期待的彩蛋，當然是照例在片中客串演出的「漫威之父」史丹李。《驚奇隊長》昨在爛番茄開盤獲得新鮮認證。（翻攝自臉書）「漫威之父」史丹李去年11月過世，享壽95歲，讓一眾超級英雄及粉絲大感悲痛，而《驚奇隊長》也成為他過世後客串的首部真人演出電影。導演安娜波登和雷恩弗里克被問到史丹李客串的角色時也透露，電影試片結束後每個人看到史丹李的演出都掉下了眼淚。從未缺席「漫威電影宇宙」任何一部作品的史丹李，曾在系列中扮演包括路人、受訪民眾、保全、快遞員、理髮師、校車司機等角色，不少人好奇這次他在片中將以什麼角色出現，隨著電影上映，他飾演的角色也被揭曉，原來是飾演「他自己」。史丹李當年在《耍酷一族》客串演出，給主角傑森李（左）愛情建議。（翻攝自IMDB）史丹李曾在1995年客串電影《耍酷一族》（Mallrats），在該片飾演他自己，還給男主角傑森李感情上的建議；而《驚奇隊長》時空背景設定在90年代，史丹李出現時，正好讀著《耍酷一族》的劇本，所以他的角色正是「準備客串該片的他本人，在讀著劇本」，相當有哏。請繼續往下閱讀...外媒也報導，這次《驚奇隊長》一開場就充滿洋蔥，只能提醒大家看電影千萬不要遲到囉！而影迷也不用太難過這是史丹李的遺作，因為導演羅素兄弟透露，史丹李已完成在《復仇者聯盟：終局之戰》客串的片段，今年4月還可以在大銀幕看到他的身影。《驚奇隊長》全台上映中，《復仇者聯盟：終局之戰》4月24日在台上映。      不用抽 不用搶 現在用APP看新聞 保證天天中獎    點我下載APP    按我看活動辦法,自由時報
2019/03/06,太陽花紀錄片前進奧斯卡！台導演募資拚入圍,《我們的青春，在台灣》劇照。（劇組提供）〔記者吳琬婷／台北報導〕導演傅榆執導的《我們的青春，在台灣》主題圍繞太陽花學運，以台灣學運領袖陳為廷與在台中國留學生蔡博藝為拍攝對象，去年獲金馬獎最佳紀錄片獎，也將代表台灣競逐2020年奧斯卡最佳紀錄片獎。然而，奧斯卡多數決的篩選方式，使這部紀錄片需要更多宣傳管道，包括參與國際巡迴影展等，才有機會被看見、進入決選，因此，該片決定發起群眾集資計畫，除募集台灣首映與口碑場放映經費，更希望可以透過群眾力量，將這部片送進奧斯卡入圍名單。《我們的青春，在台灣》歷經8年的拍攝與剪輯，最終以總長116分鐘，紀錄了陳為廷和蔡博藝兩位青年在社運現場的身影。除想要讓大家看看青春是如何被寫進這些社會運動當中，導演也希望透過紀錄他們，尋找兩岸青年相互理解、對話的可能性。導演也說：「這部紀錄片很多人都以為只是在講政治，但它更多是在談論青春。」《我們的青春，在台灣》的拍攝初衷是期待大家在看完這部紀錄片後，可以與自己不同的觀點的人創造更多討論。因此，藉由群眾集資的方式，募集台灣首映與口碑場放映經費，更希望可以通過2020年的奧斯卡決選，讓台灣人民的聲音有機會在最終的典禮上被100 多個國家聽見。集資計畫即日起至3/31止，網址為http://bit.ly/2SDxgMJ。      不用抽 不用搶 現在用APP看新聞 保證天天中獎    點我下載APP    按我看活動辦法,自由時報
2019/03/06,「神導」諾蘭新片6月開拍！風格融合這兩部片,導演克里斯多夫諾蘭（左）的新片，傳出6月開拍。（資料照，華納提供）〔記者許世穎／綜合報導〕曾打造《黑暗騎士》三部曲、《全面啟動》等傑作的大導演克里斯多夫諾蘭，每次出手都讓影迷期待不已，慢工出細活的他繼2017年的《敦克爾克大行動》後還未推出新片，不過外媒今也曝光他的新作將於今年6月開拍，並再度與瑞士攝影師賀塔范賀塔瑪合作。外媒《Production Weely》報導，克里斯多夫諾蘭的新片風格將會是希區考克的《北西北》碰上他自己的《全面啟動》，偏向「浪漫風格的驚悚片」，並將與合作過《星際效應》和《敦克爾克大行動》的攝影師賀塔范賀塔瑪再次合作。克里斯多夫諾蘭早已被不少影迷擺上神壇視為「神之導」，去年更以《敦克爾克大行動》首度角逐奧斯卡最佳導演獎。而負責他新片發行的華納兄弟電影公司在1月時也曾宣布他的新片將於2020年7月17日上映，但關於片名、劇情等消息都未透露，讓影迷好奇這次諾蘭又將帶來什麼驚喜？      不用抽 不用搶 現在用APP看新聞 保證天天中獎    點我下載APP    按我看活動辦法,自由時報
2019/03/05,男星遇意外四肢癱瘓 聘前科犯當看護逆轉人生,〔記者吳琬婷／台北報導〕溫馨喜劇《活個精彩》以現代都會男性之間的友情為主軸，描述一名假釋犯與不良於行的富翁，如何從陌生變成互噴垃圾話又互相扶持的哥兒們，笑點不斷又觸動人心的劇情，讓本片在美國上映一個半月，票房已突破1億美金（約31.6億台幣），一舉成為2019年繼《異裂》（Glass）後第二部億萬票房電影。《活個精彩》描述一名假釋犯與不良於行的富翁變成互相扶持哥兒們的故事。（CatchPlay提供）曾入圍奧斯卡影帝的布萊恩克萊斯頓（Bryan Cranston）在片中因遭遇意外事故而半身不遂，行動只能坐輪椅，為求逼真，他在片場時都靠輪椅行動，只為揣摩角色的處境，更花苦功研究如何讓身體看起來像真的無法動彈，他說：「我一開始設法讓身體保持僵硬，結果卻忍不住發抖，後來我才想通，應該要讓盡可能讓身體放鬆放軟，不做任何動作。」《活個精彩》中和布萊恩克萊斯頓共演搞笑麻吉的凱文哈特（Kevin Hart），戲外不僅也與克萊斯頓成為無話不談的好友，更大讚以情境喜劇《左右做人難》竄紅、後又因《絕命毒師》爆紅的布萊恩克萊斯頓是他夢寐以求的目標，「布萊恩是我合作過最厲害的演員，他一路從情境喜劇演到奧斯卡提名，演技有目共睹，是我學習的對象，我在片場每天看他演戲，就像海綿一樣都在吸取他腦中的精華。請繼續往下閱讀...《活個精彩》描述富翁菲利浦（布萊恩克萊斯頓飾）因遭遇意外事故，導致四肢癱瘓多年，必須找人來照料生活起居，因緣際會下聘僱有犯罪前科的戴爾（凱文哈特飾），而不按牌理出牌的戴爾為菲利浦絕望無趣的人生，帶來許多前所未有的驚喜與期待，兩人也成為瘋狂好麻吉，改變彼此的人生。《活個精彩》3月15日在台上映。      不用抽 不用搶 現在用APP看新聞 保證天天中獎    點我下載APP    按我看活動辦法,自由時報
2019/03/05,史匹柏將提議修改奧斯卡制度    Netflix發聲明,導演史帝芬史匹柏提議修改奧斯卡制度，抵制串流電影的角逐資格。（法新社）〔記者許世穎／綜合報導〕電影《羅馬》在今年奧斯卡拿下最佳導演、外語片等3項大獎，堪稱出品方Netflix一大勝利。不過一直對院線及串流電影存在分歧看法的金獎導演史帝芬史匹柏，前天傳出將以影藝學院董事會成員的身分，提議奧斯卡修改制度，排除串流媒體在獎項上競爭權利。Netflix昨終於發聲明，但未點名史匹柏。Netflix在官方推特發聲明表示「我們喜歡電影」，並列出幾點他們喜歡的事﹕「為無法負擔或居住城鎮沒有戲院的人提供服務」、「讓每個人，在任何地方可以同時享受到電影」、「提供電影製作人更多分享藝術的方式」，最後強調，這些事情並不是相互排斥的。      不用抽 不用搶 現在用APP看新聞 保證天天中獎    點我下載APP    按我看活動辦法,自由時報
2019/03/05,《雞不可失》全台票房飆破4千萬   《幸福綠皮書》北美票房成長121％,柳承龍在《雞不可失》中飾演緝毒組高班長，演技一流。（CatchPlay提供）〔記者鍾志均、吳琬婷／綜合報導〕南韓夯片《雞不可失》在台口碑持續發酵，影迷紛紛趁著連假衝戲院解放，連假4天吸金2300萬，不僅穩坐票房冠軍，全台累計票房更衝出4000萬，不少觀眾表示看完電影超級歡樂、療癒，直呼：「一張電影票就能大笑2小時超值得！」片中飾演緝毒組高班長的影帝柳承龍，以一臉窘困表情和拚命三郎的性格狂圈粉。談到自己的演技哲學，柳承龍說：「我認為演員就像廚師，廚師想用食物讓人感到開心滿足，演員則透過表演讓觀眾留下印象和笑聲，希望這部電影快樂的能量能好好地傳達給所有觀眾。」請繼續往下閱讀...《幸福綠皮書》開出好口碑，台灣總票房累積3500萬。（CatchPlay提供）而今年奧斯卡最佳影片《幸福綠皮書》也靠鍍金加持和好口碑，上周末在北美吸金1.45億台幣，票房逆勢成長121%，廳數迅速加開，是近8年奧斯卡最佳影片的最高漲幅；該片在台灣同樣不畏周周有新片上映，熱映6周至今仍保持排行第4名，總票房累計為3500萬，票房持續看漲。      不用抽 不用搶 現在用APP看新聞 保證天天中獎    點我下載APP    按我看活動辦法,自由時報
2019/03/04,《雞不可失》連假衝4000萬  柳承龍：演員就像廚師,柳承龍（右）在《雞不可失》中飾演緝毒組高班長，演技一流。（CatchPlay提供）〔記者鍾志均／綜合報導〕南韓夯片《雞不可失》在台口碑持續發酵，連假4天，不僅穩坐票房冠軍吸金2300萬，更衝出全台4000萬票房佳績，不少觀眾表示看完電影超級歡樂療癒！片中飾演緝毒組高班長的影帝柳承龍，以一臉窘困表情和拚命三郎的性格狂圈粉。談到自己的演技哲學時，他說：「我認為演員就像廚師，廚師想用食物讓人感到開心滿足，演員則透過表演讓觀眾留下印象和笑聲。」而獲本屆奧斯卡最佳影片、最佳男配角及最佳原創劇本3大獎的電影《幸福綠皮書》，也靠得獎聲勢和好評，不畏週週新片上映，在台熱映6週，至今仍保持排行第4，總票房累積來到近3500萬，後續持續看漲。      不用抽 不用搶 現在用APP看新聞 保證天天中獎    點我下載APP    按我看活動辦法,自由時報
2019/03/04,被史匹柏抵制入圍奧斯卡！Netflix正式回應了,金獎導演史帝芬史匹柏提議修法抵制串流電影入圍奧斯卡資格。（達志影像）〔記者許世穎／綜合報導〕Netflix電影《羅馬》在今年奧斯卡拿下最佳導演、外語片等3項大獎，不過風光背後卻引發「資格爭議」，一直以來對於院線電影及串流電影存在分歧看法的金獎導演史帝芬史匹柏，昨傳出將以影藝學院董事會成員的身分，提議奧斯卡修法，來排除串流媒體電影與一般院線電影在獎項上競爭，而Netflix今天也做出回應。史匹柏去年3月受訪時曾明確表示，當電影一旦選擇在電視上首播，「你拍的就是電視電影了，如果拍得好，當然該得一座『艾美獎』，而不應該得奧斯卡。」他認為在上線之前，僅象徵性地在電影院放映不到1周的電影，「不應該有資格獲得奧斯卡提名」。Netflix今天也在推特上發表聲明，但並未點名史匹柏，僅表示「我們喜歡電影」，並列出他們喜歡的事物，包括「為那些無法負擔或居住在沒有劇院的城鎮的人提供服務」、「讓每個人，在任何地方可以同時享受到電影發行」、「提供電影製作人更多分享藝術的方式」。Netflix最後強調，這些事情並不是相互排斥的。      不用抽 不用搶 現在用APP看新聞 保證天天中獎    點我下載APP    按我看活動辦法,自由時報
2019/03/03,10女優爭奪暗黑影后！AV奧斯卡入圍名單曝光,葵司（otonana624.blog.jp）水卜櫻。（翻攝自MOODYZ）美谷朱里。（翻攝自推特）〔娛樂頻道／綜合報導〕日本AV界年度盛事「（FANZA成人大賞（舊名：DMM成人大賞）」，有AV奧斯卡之稱，昨（2日）公開最新入圍名單。21歲水卜櫻是上屆新人賞得主，她長相甜美、身材火辣，是新一代童顏巨乳代表，因G奶呈水滴狀，被形容為「10年一遇之神乳」；21歲美谷朱里實力堅強，在男優間相當受歡迎，曾被清水健大讚可愛又不失該有情色誘惑，合作2次接連告白求愛。水卜櫻與美谷朱里此次風光入圍女優賞，將與相澤南、葵司、天使萌、市川雅美、椎名空、七澤米亞、星奈愛、美谷朱里、吉高寧寧共同競爭暗黑影后獎項。入圍新人賞的則有：有村希、伊藤舞雪、河合明日菜、坂道美琉、寶田萌奈美、唯井まひろ、富田優衣、成宮莉香、本庄鈴、益坂美亞。眾人也好奇，AV天后三上悠亞及AV救世主高橋聖子，2人為何沒入圍，AV達人一劍浣春秋在在《PLAY NO.1》網站透露，三上悠亞奪下2017年最優秀女優獎時，已公開表示不再參賽，至於高橋聖子去年跌破眼鏡，敗給橋本有菜只拿下優秀女優獎，「我想她的心態和三上差不多，沒必要每一年都來到頒獎典禮罰站發呆，雖然沒能和三上一樣連續2年拿下最優秀新人和最優秀女優但也夠了，沒必要再爭了。」      不用抽 不用搶 現在用APP看新聞 保證天天中獎    點我下載APP    按我看活動辦法,自由時報
