publish_date,title,content,press
2020-02-15,天然 培育鑽石 競相拚永續,「黑寡婦」史嘉莉韓喬森配戴由Forevermark與設計師Anita Ko合作的天然開採鑽石珠寶登2020奧斯卡紅毯。                       今年擔任頒獎人的《真寵》影后奧莉薇雅柯爾曼配戴的施華洛世奇人造寶石珠寶。                       今年擔任頒獎人的《真寵》影后奧莉薇雅柯爾曼配戴的施華洛世奇人造寶石珠寶。                    今年擔任頒獎人的《真寵》影后奧莉薇雅柯爾曼配戴的施華洛世奇人造寶石珠寶。                                    奧斯卡頒獎典禮上，全球都看到莎莉賽隆、蓋兒加朵等女星戴著閃亮亮的美鑽珠寶登上紅毯。看準奧斯卡紅毯強大的聚焦力，由鑽石7大業界龍頭商所組成的鑽石生產商協會（Diamond Producers Association，見稱DPA）特別與眾多一線星級造型師合作，希望透過眾多好萊塢明星的演繹，讓更多人見識到天然開採鑽石的魅力，因為號稱環保又平價的實驗室培育鑽石（Lab grown diamond）市場，已經以每年15~20％的速度快速成長。實驗室培育出來的人造鑽石和天然鑽石有何不同？2018年美國聯邦貿易委員會（US Federal Trade Commission）裁定由實驗室培育出的鑽石和天然開採鑽石的科學組成並無二致，也就是說法律規定實驗室培育鑽石不是假鑽、是真鑽；美國為全球第一大鑽石市場，這項法規的影響無疑深遠。另一方面，由全球最大的7個鑽石開採商（包括De Beers、Alrosa、Rio Tinto等）組成的DPA則宣稱專業儀器可以檢測出兩者的差異、實驗室培育鑽石在二手拍賣市場毫無價值。不論你相信的是哪一派說法，跟據英國BBC的報導，新世代消費者購買實驗室培育鑽石的意願高達70％，這個市場快速成長是不爭的事實，連最大的鑽石商戴比爾斯集團（De Beers Group）都推出自營的實驗室培育鑽石品牌Lightbox Jewelery。除了價格，最大的賣點是「環保」。據Frost & Sullivan顧問公司在2014年推出的報告指出，傳統開採一克拉天然鑽石需要挖翻約250噸的土壤，光是2018就開採了近1.5億克拉的鑽石，礦洞之大從外太空就能清楚看見。採礦還有污染水源、破壞棲地與生態等長期影響，礦工的收入與工作環境也備受抨擊。問題是，實驗室培育的鑽石免除這些問題就環保嗎？答案是：看廠牌。長期支持環保的好萊塢巨星李奧納多提卡皮歐投資的Diamond Foundry未來鑽石（台灣由JOY COLORi引進）為例，該品牌強調使用乾淨可持續的太陽能源、並經認證為零排碳。但並非所有的實驗室培育鑽石都有獲得認證，因為製作過程需要以人為方式創造高溫高壓的環境，相關資訊無法公開透明是大部分廠商最大的問題；美國聯邦貿易委員會甚至警告這些廠商不可自稱環境友善。另一方面，DPA強調數據公開透明，並強力規範成員的永續作法。DPA指出他們委託調查結果發現，天然開採鑽石的碳足跡為人造鑽的1/3，並指出天然鑽廠商生產過程中所使用的水有83%都有回收使用。他們也提出更多人道對待及公平交易的規劃，協助提升採礦社區的生活。鑽石大戰正式開打？或許在實際銷售層面上，這兩種不同價位帶的鑽石吸引的是全然不同的客群，往後在市場上如同14K、18K金，或淡水珍珠、海水珍珠並存。但無論你選購的鑽石生長於大自然或實驗室，當雙方競相提供更永續環保的選擇，地球就會是最大的贏家。,聯合報
2020-02-15,禮服回收再製 環保不減時尚,凱特琳德弗身上穿的刺繡裝飾絲緞紅洋裝經過Red Carpet Green Drees（RCGD）永續認證。                       蕾雅瑟杜的白色洋裝也是由有機絲緞所製成。                       瓦昆菲尼克斯在整個漫長的頒獎季節都穿著同一套Stella Mccartney訂製的西裝。                    蕾雅瑟杜的白色洋裝也是由有機絲緞所製成。                                    環保議題備受重視，作為製造龐大汙染的時尚工業內的一份子，許多品牌也透過各種手段試圖對環境做出補償。日前在奧斯卡頒獎典禮上，不少名人的服裝也都呼應了環保概念，不只在當晚穿出讓人印象深刻的造型，同時也發揮自身影響力來讓更多人能關注此重要議題。今年的影后入圍者瑟夏羅南（Saoirse Ronan），才25歲就已經被視為好萊塢新生代實力派代表，連續多年都帶來極為優秀的作品。她在今年的BAFTA與奧斯卡頒獎典禮中都穿著由GUCCI設計的禮服，而她在奧斯卡穿的蓬裙上身其實就是從BAFTA上那件禮服布料回收再製而成，使用可回收面料位女星製作服裝這也是GUCCI這些年持續在做的事情。除了瑟夏羅南之外，近期他們也為法國歌手、作詞人兼靈感繆斯Lou Doillon打造了一件可持續性刺繡禮服。Louis Vuitton在今年的奧斯卡同樣也為多名女星訂製環保服飾，像是凱特琳德弗身上穿的刺繡裝飾絲緞紅洋裝就經過Red Carpet Green Drees（RCGD）永續認證，蕾雅瑟杜的白色洋裝也是由有機絲緞所製成。另一方面，今年的奧斯卡影帝瓦昆菲尼克斯則是選擇在整個漫長的頒獎季節都穿著同一套Stella Mccartney訂製的西裝，減少浪費與耗損。兩者的合作可以說是演藝界與時尚界的環保小尖兵的相遇，Stella Mccartney向來致力發展永續、使用環境友善面料打造各種設計，而瓦昆長年吃素，並拒絕穿真皮的皮鞋等等，種種的實際行動也完美呼應他「人類不該擅闖自然世界，掠奪其資源」的得獎感言。,聯合報
2020-02-15,007：生死交戰 宣傳戰開打,丹尼爾克雷格「007生死交戰」4月初上映，現已開始強打主題曲。                       羅伯帕汀森的蝙蝠俠造型（上）被認為與漫威「夜魔俠」（下）太像。                    丹尼爾克雷格「007生死交戰」4月初上映，現已開始強打主題曲。                                    新冠肺炎衝擊亞洲電影市場，尤其被好萊塢倚重的中國大陸更是慘烈，被預期是丹尼克雷格最後一部龐德片的「007生死交戰」仍維持原定計畫在4月初上映，是否遭到影響尚難論斷，不過由怪奇比莉演唱的同名主題曲已搶先公開，希望打響宣傳戰的第一炮。過往龐德片主題曲也是各方關注的焦點之一，瑪丹娜、蒂娜透納等大牌都曾擔任主唱，「007生死交戰」找來本屆葛萊美獎最強新人王怪奇比莉，讓她成為史上最年輕的龐德片主題曲演唱者，她也表示非常榮幸更興奮，因為007是史上最酷的系列影片，到現在她還難以置信自己成為其中的一分子。然而部分網友感到怪奇比莉這首歌與愛黛兒、山姆史密斯分別負責的前兩集歌曲風格太接近，少了點新鮮刺激。「007生死交戰」將為丹尼爾克雷格的時期畫下句點，情節元素豐富，一度傳出片長可能逼近3小時、將打破龐德片史上最長紀錄，目前導演凱瑞福永還在後製中，是否屬實等上映後就有答案。丹尼爾除了要面對奧斯卡影帝雷米馬利克扮演的詭異大反派外，更大的挑戰是肺炎疫情，十多年前SARS正嚴重時，「X戰警2」的台灣票房就被嚴重影響，基努李維「駭客任務：重裝上陣」也略受波及，「007生死交戰」可否挺住？各方都在拭目以待。歐美影壇永遠不退燒的經典除了007外，還有DC漫畫改編的「蝙蝠俠」。自從「暮光之城」男主角羅伯帕汀森宣告成為最新一代黑暗騎士後，粉絲都好奇他的造型比起米高基頓、方基墨等前輩究竟如何？導演麥特李維終於分享了短短一段羅伯穿戲服試拍的畫面，竟然被認為「神似『漫威夜魔俠』」，再次挑起DC與漫威粉絲間的情結。平心而論，羅伯穿戲服的畫面色調偏暗紅，猛一看蠻像夜魔俠，應該不會是電影中呈現的樣子，暫時不用太早下結語。,聯合報
2020-02-15,小賈斯汀 捐錢抗疫,小賈斯汀新專輯推出之餘也不忘獻愛心。                    小賈斯汀新專輯推出之餘也不忘獻愛心。                                    小賈斯汀婚後真的變更成熟、懂事？他在社群網站上發表短片，坦言現在對中國大陸的人們是段很驚恐的時光，但他們有他的支持，大家一起對抗新冠肺炎疫情，他也捐了20萬人民幣（約台幣87萬）給北京春苗慈善基金會，貢獻一己之力。其實小賈斯汀雖然在大陸也有不少粉絲，卻曾因「行為不良」遭到官方拒絕前往大陸演出，可是他沒有因此對肺炎疫情不聞不問，更表示很想跟他在大陸的好友吳亦凡聯絡。小賈斯汀算是歐美娛樂圈名人最早慷慨解囊捐款的代表，雖然還是有人質疑以他的經濟能力，20萬人民幣似乎不算多，也有人覺得心意到了，已經很值得感謝。他也在西洋情人節正式宣告新專輯「Changes/我的改變」推出，把自身在這4年來的轉變，和樂迷們分享。曾經因為在台灣演唱會上穿著太陽花裝一度在中國大陸引發爭議的凱蒂佩芮，近日也公開發表為大陸民眾加油打氣的聲明，希望大家持續奮戰，自己會做他們的後盾。才剛以「寄生上流」成為奧斯卡大贏家的奉俊昊，在美國受訪時為武漢加油打氣的短片，也在網上廣為流傳。,聯合報
2020-02-15,Les 3G三面情人 今午開賣,法語音樂劇「羅密歐與茱麗葉」經典巨星卡司達米安．薩格（Damien Sargue）、尼可拉斯．特寇尼（Nicolas Turconi）與史蒂芬．梅鐸（Stéphane Métro）四月將來台舉辦「Les 3G三面情人」演唱會。俊美面貌、完美聲線與獨特魅力的三人組成男子團體「Les 3G」巡迴演出，全球首站就在台北，演出內容將詮釋經典音樂劇及奧斯卡得獎電影曲目，讓台灣觀眾再一次心動心醉。台北演唱會包含「羅密歐與茱麗葉」、「鐘樓怪人」、「悲慘世界」、「吉屋出租」等經典歐美音樂劇曲目，也加入奧斯卡得獎作品「一個巨星的誕生」、「樂來樂愛你」等電影金曲，網羅極富故事性與情感的熱門戲劇歌曲。三人融合自身經歷，以城市主題為主軸，重新詮釋數十首經典歌曲，還特別打造台北場獨有的城市歌曲。法語音樂劇巨星演唱會「Les 3G三面情人」由聯合數位文創主辦，四月十一日至十二日於台北國父紀念館演出兩場，二月十五日中午十二時開賣，購票享最低八五折優惠。凡購買ＶＩＰ區情人套票即贈送獨家限量指定情人票夾一只。更多詳情優惠訊息請上udn售票網（http://bit.ly/3azP3yA）；客服專線 (02)7721-6958 #2（每日09:00-18:00）。,聯合報
2020-02-14,假女權真作秀？ 娜塔莉：會持續去做,好萊塢男女平權、同酬還有一條很長的路要走。針對本屆奧斯卡最佳導演入圍名單忽視所有女導演引發之爭議，娜塔莉波曼選擇在出席頒獎典禮的服裝繡上幾位女導演的名字，被「Me Too」女星蘿絲麥高溫抨擊是作秀。對此娜塔莉回應，會持續努力促成更多與女導演合作的機會。娜塔莉解釋自己被蘿絲批評幾乎沒怎麼跟女導演合作，其實她拍過的短片、廣告、MV中，不乏蘇菲亞柯波拉、米拉奈兒這些著名女導演，她的作品不是只有長片而已。況且她很多次努力要爭取讓電影公司接受由女性來執導，卻數度未能實現，她還是會持續去做，希望情況獲得改善。幾年前娜塔莉曾經試圖要讓漫威接受由派蒂詹金斯執導「雷神索爾2」，最後沒能落實，她差點氣到辭演，之後派蒂被網羅執導「神力女超人」叫好又叫座，漫威的疏忽反而讓對手DC撿到寶，卻不能怪娜塔莉啥也沒做。根據「富比世」統計，去年男星收入整體高過女星。男星冠軍巨石強森賺進8900萬美元，女星冠軍思嘉莉約翰森才5600萬美元，若與男星相比，只排到第8名，且男星前10名的總收入約是女星前10名的快兩倍。前10名的女星有多數身兼自己影片的監製，才能多些分紅，顯示好萊塢男星目前在薪資條件上，還是比女星優厚許多。,聯合報
2020-02-14,義守學中醫 外籍生喜獲「小金人」,義守大學學士後中醫學系教授蔡金川（右一）贈送外籍學生「小金人」，他們是中醫院常見的十八銅人像。                    義守大學學士後中醫學系教授蔡金川（右一）贈送外籍學生「小金人」，他們是中醫院常見的十八銅人像。                                    國際影星以榮獲奧斯卡金像獎的「小金人」為榮，義守大學學士後中醫學系年年舉辦頒獎儀式，外籍學生可從教授蔡金川手中獲贈一座小金人當課程研習紀念品，不過這個金人獎項是台灣中醫診所常見的十八銅人像經典版，用來勉勵外國學生推廣中醫，傳承跨越海內外的師生情誼。義守大學學士後中醫學系開辦「學士後醫學系外國學生專班」，教授蔡金川教導中醫導論課程，每年課程結束，他會贈送海外學生一人一座特製小金人，收到贈禮的學生喜出望外。義守大學指出，蔡金川不僅擔任教職，同時也是義大醫院中醫部部長，常帶領年輕醫生與學生前往社區服務，蔡會前往社區或醫院教授「八段錦」簡易版本，同時拍攝推廣影片，介紹如何在家伸展筋骨，增強身體抵抗力。小金人其實是中醫院常見的十八銅人像經典版，高度54公分。蔡金川說，贈送小金人的用意很簡單，主要是希望外籍學生謹記在台學習的中醫知識，也希望藉此傳承師生情誼，期望未來能保持聯繫，合力為國際醫療貢獻所學。,聯合報
2020-02-13,拒性騷…是演技？ Me Too教母 狂譙娜塔莉波曼,娜塔莉波曼穿的外套上，繡有被奧斯卡忽視的女導演名字，引起好惡兩極評價。                    娜塔莉波曼穿的外套上，繡有被奧斯卡忽視的女導演名字，引起好惡兩極評價。                                    奧斯卡影后娜塔莉波曼出席本屆頒獎典禮時，身上禮服繡了好幾位未能入圍的女導演名字，力挺女性電影工作者不該被視而不見，有不少媒體讚譽，也有網友批評，但沒人料到在「Me Too」旗手蘿絲麥高溫的眼中，這樣做非但不真誠還相當噁心！蘿絲在臉書上發表長文，抨娜塔莉只是作秀而無實際作為，引發激烈的爭議。蘿絲麥高溫是好萊塢控訴「淫魔大亨」哈維溫斯坦最不遺餘力的女星之一，儼然有「Me Too」教母的地位，很敢發表內心真實感受，完全不怕得罪人。她寫道：「娜塔莉波曼和她在奧斯卡典禮的『抗議』，受到主流媒體叫好，因為她很『勇敢』，真的勇敢嗎？差得遠了！比較像是在『演』她關心這議題，而且很多女星都這樣。她這舉動讓我們這些真的有在為此努力行動的人深受冒犯，我寫這篇文章不是因為酸溜溜，而是感到噁心。」在文中蘿絲炮轟娜塔莉20多年的演藝生涯中只有和兩位女性導演合作，其中一位正是她自己，她的製片公司也只用過一位女導演，也仍然是她自己，像她這樣的A咖巨星，有改變業界環境的能力，為何不真的開始行動、運用自身的影響力，讓影片公司多多聘用女導演？只是說說而已很簡單，拿出實際行動才重要。娜塔莉至今尚未回應蘿絲的抨擊，可是網友認為讓好萊塢影界人士知道奧斯卡嚴重忽視女性導演這個問題也有助於改善未來的情況，不一定每個人都非得行動力爭不可，也有人覺得女性影人都還在內鬥、而不團結，才真的毫無助益。,聯合報
2020-02-12,勞力士與電影的千絲萬縷,"即將於2020年落成、位於洛杉磯的「奧斯卡電影博物館（Academy Museum of Motion Pictures）」，勞力士正是創始支持者。                       曾執導電影「鳥人」、「神鬼獵人」的導演阿利安卓崗札雷伊納利圖，同時也是勞力士品牌代言人。                       每年綠坊休息室的主題都會略微變動，今年則以一片脆弱的極地風貌，提醒人們對地球與氣候變化議題的關心。                    曾執導電影「鳥人」、「神鬼獵人」的導演阿利安卓崗札雷伊納利圖，同時也是勞力士品牌代言人。                                    勞力士（Rolex）在2002年開啟了「創藝推薦資助計畫（Rolex Mentor and Protege Arts Initiative）」，透過連結兩位藝壇的導師與新銳藝術家，除推動全球文化發展，更能確保世界各地不同種類的藝術精髓，得以源遠流長。事實上，電影中的勞力士經典畫面，俯拾皆是。「現代啟示錄」（Apocalypse Now）中的馬龍白蘭度（Marlon Brando）、「金錢本色」（The Color of Money）的保羅紐曼（Paul Newman），又或「鐵達尼號」（Titanic）中的比爾派斯頓（Bill Paxton），雖然是不同的電影類型與劇情，然而劇中人物皆配戴了勞力士腕表，並以堅毅特質，反應腕表與劇中人物刻畫的共同關聯。而甫落幕的奧斯卡金像獎上，除影帝瓦昆菲尼克斯（Joaquin R. Phoenix）的致詞令人動容，另一亮點更在頒獎典禮中播放了一段由勞力士所製作的短片；­­­­­四位當代的電影大師凱薩琳畢格羅（Kathryn Bigelow）、詹姆斯卡麥隆（James Cameron）、阿利安卓崗札雷伊納利圖（Alejandro G. Iñárritu）與馬丁史柯西斯（Martin Scorsese），個別在影片中分享當初曾扮演影響他們電影人生的重要導師。這四位重量級影人除了皆為勞力士品牌代言人，其中馬丁史柯西斯及阿利安卓崗札雷伊納利圖也都曾經在「創藝推薦資助計畫」中擔任導師，將其專業，傳承以未來的影壇新銳。值得一提的是，除了傳承智慧與專業，勞力士同時也是洛杉磯的奧斯卡電影博物館（Academy Museum of Motion Pictures）的創始支持者。這項重量級的博物館是由曾獲普利茲克獎的建築師倫佐皮亞諾（Renzo Piano）擔任總設計師，其內部展覽空間便達4,650平方米，與一座可容納1,000位觀眾的劇院空間。也一如勞力士「創藝推薦資助計畫」的承先啟後，博物館預計將於2020年正式開幕，並為次世代的電影藝術，樹立起重要的文化據點。",聯合報
2020-02-12,寄生上流影集版 馬克魯法洛接演,奉俊昊特製的「寄生上流」黑白版，將在台上映。                    奉俊昊特製的「寄生上流」黑白版，將在台上映。                                    南韓導演奉俊昊「寄生上流」在第92屆奧斯卡橫掃最佳影片等4個大獎，破奧斯卡歷史紀錄，成為首部非英語發音的最佳影片。隨著該片在奧斯卡大放異彩，台灣也重掀起「寄生上流」熱，11日宣布，奉俊昊稱滿足自己虛榮心而製作的「『寄生上流』黑白版」，即將在台灣大銀幕現身。奉俊昊在奧斯卡典禮後台接受媒體訪問時，聊到學習拍攝電影的路上，受到了非常多名導演的作品薰陶，他說：「除了韓國名導演金綺泳、日本名導今村昌平、黑澤清，當然還有台灣大導演如侯孝賢、楊德昌等大師。」「寄生上流」也被權威影評網站「爛番茄」好評飆升至99%，而台灣在奧斯卡結束重新上映的票房單日就成長200%，CATCHPLAY+影音平台的單片觀看人數亦成長63%，想必再推「黑白版」也會受到不少影迷支持，奉俊昊說：「第2次看黑白版，感覺更加激烈、而且更加殘酷，我相信每位觀眾看了，一定都會有不一樣的感受。」除此之外，「寄生上流」接下來的影集版本動向也受到關注，根據外媒「Collider」報導，「復仇者聯盟：終局之戰」元老級大咖成員「浩克」馬克魯法洛傳出接演，隨後「TMZ」爆出，馬克魯法洛親口回應，電影很棒，很榮幸參與影集的演出。影集版預計會有6集，由導演奉俊昊、「為副不仁」導演亞當麥凱（Adam McKay）攜手製作，奉俊昊先前就提過這次的影集「不是重拍電影版本，而是擴展世界」，也說腦海中有太多故事要說，希望可以花更多時間分享給影迷知道。,聯合報
